r,e,y,AnnualEmissions
RE1,EMIC02,2015,17569.393
RE1,EMIC02,2016,18365.992
RE1,EMIC02,2017,26774.046
RE1,EMIC02,2018,35227.033
RE1,EMIC02,2019,43727.362
RE1,EMIC02,2020,52277.566
RE1,EMIC02,2021,51830.898
RE1,EMIC02,2022,53203.356
RE1,EMIC02,2023,55004.207
RE1,EMIC02,2024,55540.024
RE1,EMIC02,2025,55221.371
RE1,EMIC02,2026,56376.508
RE1,EMIC02,2027,56943.31
RE1,EMIC02,2028,58298.825
RE1,EMIC02,2029,59696.145
RE1,EMIC02,2030,61138.059
RE1,EMIC02,2031,61077.75
RE1,EMIC02,2032,60998.92
RE1,EMIC02,2033,61029.518
RE1,EMIC02,2034,61162.032
RE1,EMIC02,2035,64343.453
RE1,EMIC02,2036,65580.796
RE1,EMIC02,2037,66873.89
RE1,EMIC02,2038,67927.584
RE1,EMIC02,2039,68777.483
RE1,EMIC02,2040,69700.074
RE1,EMIC02,2041,70583.369
RE1,EMIC02,2042,71494.5
RE1,EMIC02,2043,72441.538
RE1,EMIC02,2044,73323.609
RE1,EMIC02,2045,74114.577
RE1,EMIC02,2046,73867.054
RE1,EMIC02,2047,73063.846
RE1,EMIC02,2048,72410.421
RE1,EMIC02,2049,71643.294
RE1,EMIC02,2050,69882.608
RE1,EMIC02,2051,64868.921
RE1,EMIC02,2052,64311.235
RE1,EMIC02,2053,63767.13
RE1,EMIC02,2054,63083.936
RE1,EMIC02,2055,62327.346
RE1,EMIC02,2056,61599.668
RE1,EMIC02,2057,60901.572
RE1,EMIC02,2058,61214.171
RE1,EMIC02,2059,61569.977
RE1,EMIC02,2060,61954.984
RE1,EMIC02,2061,62075.209
RE1,EMIC02,2062,62232.645
RE1,EMIC02,2063,62420.989
RE1,EMIC02,2064,62587.858
RE1,EMIC02,2065,62782.694
RE1,EMIC02,2066,63251.259
RE1,EMIC02,2067,63862.673
RE1,EMIC02,2068,64513.324
RE1,EMIC02,2069,65443.414
RE1,EMIC02,2070,58952.304
