r,t,y,AnnualFixedOperatingCost
RE1,PWRBIO001,2022,15.7608
RE1,PWRBIO001,2023,52.6537
RE1,PWRBIO001,2024,62.2917
RE1,PWRBIO001,2025,63.8387
RE1,PWRBIO001,2026,69.1556
RE1,PWRBIO001,2027,72.8451
RE1,PWRBIO001,2028,76.7448
RE1,PWRBIO001,2029,80.8685
RE1,PWRBIO001,2030,85.2306
RE1,PWRBIO001,2031,88.5583
RE1,PWRBIO001,2032,92.1827
RE1,PWRBIO001,2033,96.113
RE1,PWRBIO001,2034,100.3613
RE1,PWRBIO001,2035,109.7097
RE1,PWRBIO001,2036,116.3629
RE1,PWRBIO001,2037,123.4544
RE1,PWRBIO001,2038,131.0174
RE1,PWRBIO001,2039,139.0874
RE1,PWRBIO001,2040,147.7026
RE1,PWRBIO001,2041,154.9613
RE1,PWRBIO001,2042,162.6033
RE1,PWRBIO001,2043,170.7494
RE1,PWRBIO001,2044,177.6929
RE1,PWRBIO001,2045,185.239
RE1,PWRBIO001,2046,196.6525
RE1,PWRBIO001,2047,208.066
RE1,PWRBIO001,2048,219.4795
RE1,PWRBIO001,2049,230.893
RE1,PWRBIO001,2050,242.3065
RE1,PWRBIO001,2051,319.7189
RE1,PWRBIO001,2052,328.2924
RE1,PWRBIO001,2053,336.2317
RE1,PWRBIO001,2054,343.6654
RE1,PWRBIO001,2055,352.1735
RE1,PWRBIO001,2056,360.9451
RE1,PWRBIO001,2057,369.9888
RE1,PWRBIO001,2058,381.3788
RE1,PWRBIO001,2059,393.1194
RE1,PWRBIO001,2060,405.1406
RE1,PWRBIO001,2061,414.6036
RE1,PWRBIO001,2062,422.4196
RE1,PWRBIO001,2063,430.4134
RE1,PWRBIO001,2064,438.5786
RE1,PWRBIO001,2065,446.9195
RE1,PWRBIO001,2066,455.44
RE1,PWRBIO001,2067,464.1443
RE1,PWRBIO001,2068,473.5856
RE1,PWRBIO001,2069,472.5051
RE1,PWRBIO001,2070,463.8899
RE1,PWRCOA001,2015,9.36
RE1,PWRCOA001,2016,9.36
RE1,PWRCOA001,2017,9.36
RE1,PWRCOA001,2018,9.36
RE1,PWRCOA001,2019,9.36
RE1,PWRCOA001,2020,9.36
RE1,PWRCOA001,2021,9.36
RE1,PWRCOA001,2022,9.36
RE1,PWRCOA001,2023,9.36
RE1,PWRCOA001,2024,9.36
RE1,PWRCOA001,2025,9.36
RE1,PWRCOA001,2026,9.36
RE1,PWROHC001,2015,2.1
RE1,PWROHC001,2016,2.1
RE1,PWROHC001,2017,2.1
RE1,PWROHC001,2018,2.1
RE1,PWROHC001,2019,2.1
RE1,PWROHC001,2020,2.1
RE1,PWROHC001,2021,2.1
RE1,PWROHC001,2022,2.1
RE1,PWROHC001,2023,2.1
RE1,PWROHC001,2024,2.1
RE1,PWROHC001,2025,2.1
RE1,PWRNGS001,2024,3.8513
RE1,PWRNGS001,2025,3.8513
RE1,PWRNGS001,2026,5.7489
RE1,PWRNGS001,2027,8.5897
RE1,PWRNGS001,2028,10.8473
RE1,PWRNGS001,2029,13.3015
RE1,PWRNGS001,2030,16.1423
RE1,PWRNGS001,2031,18.7906
RE1,PWRNGS001,2032,20.2116
RE1,PWRNGS001,2033,21.2493
RE1,PWRNGS001,2034,23.0465
RE1,PWRNGS001,2035,25.8872
RE1,PWRNGS001,2036,28.728
RE1,PWRNGS001,2037,28.728
