r,l,f,y,Demand
RE1,S101,INDELC,2015,1.8353
RE1,S101,INDELC,2016,1.8803
RE1,S101,INDELC,2017,1.9263
RE1,S101,INDELC,2018,1.9735
RE1,S101,INDELC,2019,2.0218
RE1,S101,INDELC,2020,2.0713
RE1,S101,INDELC,2021,2.2247
RE1,S101,INDELC,2022,2.3887
RE1,S101,INDELC,2023,2.5642
RE1,S101,INDELC,2024,2.752
RE1,S101,INDELC,2025,2.9529
RE1,S101,INDELC,2026,3.1647
RE1,S101,INDELC,2027,3.3914
RE1,S101,INDELC,2028,3.6338
RE1,S101,INDELC,2029,3.8932
RE1,S101,INDELC,2030,4.1707
RE1,S101,INDELC,2031,4.4243
RE1,S101,INDELC,2032,4.6996
RE1,S101,INDELC,2033,4.9979
RE1,S101,INDELC,2034,5.3205
RE1,S101,INDELC,2035,5.9267
RE1,S101,INDELC,2036,6.4026
RE1,S101,INDELC,2037,6.9155
RE1,S101,INDELC,2038,7.4682
RE1,S101,INDELC,2039,8.064
RE1,S101,INDELC,2040,8.7063
RE1,S101,INDELC,2041,9.2548
RE1,S101,INDELC,2042,9.8366
RE1,S101,INDELC,2043,10.4538
RE1,S101,INDELC,2044,11.1085
RE1,S101,INDELC,2045,11.8032
RE1,S101,INDELC,2046,12.4868
RE1,S101,INDELC,2047,13.2126
RE1,S101,INDELC,2048,13.9829
RE1,S101,INDELC,2049,14.8005
RE1,S101,INDELC,2050,15.6682
RE1,S101,INDELC,2051,16.2072
RE1,S101,INDELC,2052,16.7647
RE1,S101,INDELC,2053,17.3413
RE1,S101,INDELC,2054,17.9377
RE1,S101,INDELC,2055,18.5546
RE1,S101,INDELC,2056,19.1926
RE1,S101,INDELC,2057,19.8525
RE1,S101,INDELC,2058,20.535
RE1,S101,INDELC,2059,21.2409
RE1,S101,INDELC,2060,21.9711
RE1,S101,INDELC,2061,22.494
RE1,S101,INDELC,2062,23.0294
RE1,S101,INDELC,2063,23.5775
RE1,S101,INDELC,2064,24.1387
RE1,S101,INDELC,2065,24.7132
