r,t,y,DiscountedSalvageValue
RE1,PWRBIO001,2042,1.027
RE1,PWRBIO001,2043,2.1373
RE1,PWRBIO001,2044,2.6681
RE1,PWRBIO001,2045,3.7757
RE1,PWRBIO001,2046,6.9725
RE1,PWRBIO001,2047,8.1743
RE1,PWRBIO001,2048,9.3188
RE1,PWRBIO001,2049,10.4088
RE1,PWRBIO001,2050,11.447
RE1,PWRBIO001,2051,84.3452
RE1,PWRBIO001,2052,28.5212
RE1,PWRBIO001,2053,56.0683
RE1,PWRBIO001,2054,22.6277
RE1,PWRBIO001,2055,14.0441
RE1,PWRBIO001,2056,20.6341
RE1,PWRBIO001,2057,19.472
RE1,PWRBIO001,2058,24.323
RE1,PWRBIO001,2059,26.167
RE1,PWRBIO001,2060,27.9381
RE1,PWRBIO001,2061,22.4915
RE1,PWRBIO001,2062,20.6968
RE1,PWRBIO001,2063,22.1472
RE1,PWRBIO001,2064,23.6262
RE1,PWRBIO001,2065,34.4414
RE1,PWRBIO001,2066,30.1759
RE1,PWRBIO001,2067,32.0398
RE1,PWRBIO001,2068,35.1337
RE1,PWRBIO001,2069,14.6932
RE1,PWRNGS001,2045,0.7558
RE1,PWRNGS001,2046,1.785
RE1,PWRNGS001,2047,2.0927
RE1,PWRNGS001,2048,2.3857
RE1,PWRNGS001,2049,2.6647
RE1,PWRNGS001,2050,2.9305
RE1,PWRNGS001,2051,54.5242
RE1,PWRNGS001,2052,14.4678
RE1,PWRNGS001,2053,14.593
RE1,PWRNGS001,2054,15.2818
RE1,PWRNGS001,2055,8.1794
RE1,PWRNGS001,2056,11.6436
RE1,PWRNGS001,2057,13.8647
RE1,PWRNGS001,2058,6.2875
RE1,PWRNGS001,2059,6.8834
RE1,PWRNGS001,2060,8.1412
RE1,PWRNGS001,2061,4.1758
RE1,PWRNGS001,2066,17.9021
RE1,PWRNGS001,2067,15.4525
RE1,PWRNGS001,2068,14.2355
RE1,PWRSOL001,2048,1.9219
RE1,PWRSOL001,2049,3.7523
RE1,PWRSOL001,2050,5.0927
RE1,PWRSOL001,2051,13.8991
RE1,PWRSOL001,2052,2.8917
RE1,PWRSOL001,2053,3.5199
RE1,PWRSOL001,2054,4.1677
RE1,PWRSOL001,2055,4.3789
RE1,PWRSOL001,2056,5.035
RE1,PWRSOL001,2057,5.7155
RE1,PWRSOL001,2058,7.1982
RE1,PWRSOL001,2059,9.4786
RE1,PWRSOL001,2060,8.8096
RE1,PWRSOL001,2061,8.0447
RE1,PWRSOL001,2062,8.7958
RE1,PWRSOL001,2063,9.5838
RE1,PWRSOL001,2064,10.4113
RE1,PWRSOL001,2065,10.0341
RE1,PWRSOL001,2066,10.7452
RE1,PWRSOL001,2067,11.4824
RE1,PWRSOL001,2068,12.247
RE1,PWRSOL001,2069,12.8234
RE1,PWRSOL001,2070,86.3351
RE1,PWRHYD001,2022,0.5419
RE1,PWRHYD001,2051,39.4522
RE1,PWRHYD002,2051,12.6028
RE1,PWRWND001,2047,1.0014
RE1,PWRWND001,2048,1.9551
RE1,PWRWND001,2049,2.8634
RE1,PWRWND001,2050,3.7285
RE1,PWRWND001,2051,40.1117
RE1,PWRWND001,2052,3.9084
RE1,PWRWND001,2053,4.5858
RE1,PWRWND001,2054,5.2722
RE1,PWRWND001,2055,5.9682
RE1,PWRWND001,2056,6.6744
RE1,PWRWND001,2057,16.1253
RE1,PWRWND001,2058,17.4395
RE1,PWRWND001,2059,18.738
RE1,PWRWND001,2060,20.023
RE1,PWRWND001,2061,18.367
RE1,PWRSOL001S,2048,0.8432
RE1,PWRSOL001S,2049,4.8421
RE1,PWRSOL001S,2050,7.046
RE1,PWRSOL001S,2051,17.232
RE1,PWRSOL001S,2052,3.178
RE1,PWRSOL001S,2053,3.8684
RE1,PWRSOL001S,2054,4.5803
RE1,PWRSOL001S,2055,4.8124
RE1,PWRSOL001S,2056,5.5334
RE1,PWRSOL001S,2057,6.2813
RE1,PWRSOL001S,2058,7.058
RE1,PWRSOL001S,2059,10.4169
RE1,PWRSOL001S,2060,9.6817
RE1,PWRSOL001S,2061,8.841
RE1,PWRSOL001S,2062,9.6665
RE1,PWRSOL001S,2063,10.5325
RE1,PWRSOL001S,2064,11.442
RE1,PWRSOL001S,2065,11.0274
RE1,PWRSOL001S,2066,11.8089
RE1,PWRSOL001S,2067,12.6191
RE1,PWRSOL001S,2068,13.4594
RE1,PWRSOL001S,2069,14.3322
RE1,PWRSOL001S,2070,127.6985
RE1,PWRWND001S,2047,2.2708
RE1,PWRWND001S,2048,9.1143
RE1,PWRWND001S,2049,23.0119
RE1,PWRWND001S,2050,19.6945
RE1,PWRWND001S,2054,20.2092
RE1,PWRWND001S,2055,38.3779
RE1,PWRWND001S,2056,41.5697
RE1,PWRWND001S,2057,44.5843
RE1,PWRWND001S,2062,26.0992
RE1,PWRWND001S,2063,24.8179
RE1,PWRWND001S,2064,35.5101
RE1,PWRWND001S,2065,58.1868
RE1,PWRWND001S,2066,50.1806
RE1,PWRWND001S,2067,44.653
RE1,PWRWND001S,2068,54.6961
RE1,PWRWND001S,2069,53.5409
RE1,PWRTRN,2022,0.2625
RE1,PWRTRN,2023,0.6131
RE1,PWRTRN,2024,0.9092
