r,t,f,y,ProductionByTechnologyAnnual
RE1,DEMCOMHEBIO,COMHEL,2015,0.131
RE1,DEMCOMHEBIO,COMHEL,2016,0.138
RE1,DEMCOMHEBIO,COMHEL,2017,0.1454
RE1,DEMCOMHEBIO,COMHEL,2018,0.1532
RE1,DEMCOMHEBIO,COMHEL,2019,0.1614
RE1,DEMCOMHEBIO,COMHEL,2020,0.17
RE1,DEMCOMHEBIO,COMHEL,2021,0.1765
RE1,DEMCOMHEBIO,COMHEL,2022,0.1833
RE1,DEMCOMHEBIO,COMHEL,2023,0.1902
RE1,DEMCOMHEBIO,COMHEL,2024,0.1973
RE1,DEMCOMHEBIO,COMHEL,2025,0.2047
RE1,DEMCOMHEBIO,COMHEL,2026,0.2121
RE1,DEMCOMHEBIO,COMHEL,2027,0.2197
RE1,DEMCOMHEBIO,COMHEL,2028,0.2276
RE1,DEMCOMHEBIO,COMHEL,2029,0.2358
RE1,DEMCOMHEBIO,COMHEL,2030,0.2442
RE1,DEMCOMHEBIO,COMHEL,2031,0.248
RE1,DEMCOMHEBIO,COMHEL,2032,0.2521
RE1,DEMCOMHEBIO,COMHEL,2033,0.2566
RE1,DEMCOMHEBIO,COMHEL,2034,0.2615
RE1,DEMCOMHEBIO,COMHEL,2035,0.2788
RE1,DEMCOMHEBIO,COMHEL,2036,0.2883
RE1,DEMCOMHEBIO,COMHEL,2037,0.298
RE1,DEMCOMHEBIO,COMHEL,2038,0.3081
RE1,DEMCOMHEBIO,COMHEL,2039,0.3184
RE1,DEMCOMHEBIO,COMHEL,2040,0.329
RE1,DEMCOMHEBIO,COMHEL,2041,0.3375
RE1,DEMCOMHEBIO,COMHEL,2042,0.3462
RE1,DEMCOMHEBIO,COMHEL,2043,0.355
RE1,DEMCOMHEBIO,COMHEL,2044,0.3641
RE1,DEMCOMHEBIO,COMHEL,2045,0.3733
RE1,DEMCOMHEBIO,COMHEL,2046,0.3811
RE1,DEMCOMHEBIO,COMHEL,2047,0.3891
RE1,DEMCOMHEBIO,COMHEL,2048,0.3974
RE1,DEMCOMHEBIO,COMHEL,2049,0.4059
RE1,DEMCOMHEBIO,COMHEL,2050,0.4147
RE1,DEMCOMHEBIO,COMHEL,2051,0.4215
RE1,DEMCOMHEBIO,COMHEL,2052,0.4284
RE1,DEMCOMHEBIO,COMHEL,2053,0.4355
RE1,DEMCOMHEBIO,COMHEL,2054,0.4426
RE1,DEMCOMHEBIO,COMHEL,2055,0.4499
RE1,DEMCOMHEBIO,COMHEL,2056,0.4573
