r,l,t,m,y,RateOfActivity
RE1,S101,MINBIO,1,2015,27.6641
RE1,S102,MINBIO,1,2015,27.6641
RE1,S103,MINBIO,1,2015,27.6641
RE1,S104,MINBIO,1,2015,27.6641
RE1,S105,MINBIO,1,2015,27.6641
RE1,S106,MINBIO,1,2015,27.6641
RE1,S107,MINBIO,1,2015,27.6641
RE1,S108,MINBIO,1,2015,27.6641
RE1,S101,MINBIO,1,2016,27.7044
RE1,S102,MINBIO,1,2016,27.7044
RE1,S103,MINBIO,1,2016,27.7044
RE1,S104,MINBIO,1,2016,27.7044
RE1,S105,MINBIO,1,2016,27.7044
RE1,S106,MINBIO,1,2016,27.7044
RE1,S107,MINBIO,1,2016,27.7044
RE1,S108,MINBIO,1,2016,27.7044
RE1,S101,MINBIO,1,2017,103.4348
RE1,S102,MINBIO,1,2017,103.4348
RE1,S103,MINBIO,1,2017,103.4348
RE1,S104,MINBIO,1,2017,103.4348
RE1,S105,MINBIO,1,2017,103.4348
RE1,S106,MINBIO,1,2017,103.4348
RE1,S107,MINBIO,1,2017,103.4348
RE1,S108,MINBIO,1,2017,103.4348
RE1,S101,MINBIO,1,2018,179.1675
RE1,S102,MINBIO,1,2018,179.1675
RE1,S103,MINBIO,1,2018,179.1675
RE1,S104,MINBIO,1,2018,179.1675
RE1,S105,MINBIO,1,2018,179.1675
RE1,S106,MINBIO,1,2018,179.1675
RE1,S107,MINBIO,1,2018,179.1675
RE1,S108,MINBIO,1,2018,179.1675
RE1,S101,MINBIO,1,2019,254.9026
RE1,S102,MINBIO,1,2019,254.9026
RE1,S103,MINBIO,1,2019,254.9026
RE1,S104,MINBIO,1,2019,254.9026
RE1,S105,MINBIO,1,2019,254.9026
RE1,S106,MINBIO,1,2019,254.9026
RE1,S107,MINBIO,1,2019,254.9026
RE1,S108,MINBIO,1,2019,254.9026
RE1,S101,MINBIO,1,2020,330.6402
RE1,S102,MINBIO,1,2020,330.6402
RE1,S103,MINBIO,1,2020,330.6402
RE1,S104,MINBIO,1,2020,330.6402
RE1,S105,MINBIO,1,2020,330.6402
RE1,S106,MINBIO,1,2020,330.6402
RE1,S107,MINBIO,1,2020,330.6402
RE1,S108,MINBIO,1,2020,330.6402
RE1,S101,MINBIO,1,2021,334.8497
RE1,S102,MINBIO,1,2021,334.8497
RE1,S103,MINBIO,1,2021,334.8497
RE1,S104,MINBIO,1,2021,334.8497
RE1,S105,MINBIO,1,2021,334.8497
RE1,S106,MINBIO,1,2021,334.8497
RE1,S107,MINBIO,1,2021,334.8497
RE1,S108,MINBIO,1,2021,334.8497
RE1,S101,MINBIO,1,2022,348.4411
RE1,S102,MINBIO,1,2022,348.4411
RE1,S103,MINBIO,1,2022,348.4411
RE1,S104,MINBIO,1,2022,348.4411
RE1,S105,MINBIO,1,2022,348.4411
RE1,S106,MINBIO,1,2022,348.4411
RE1,S107,MINBIO,1,2022,348.4411
RE1,S108,MINBIO,1,2022,348.4411
RE1,S101,MINBIO,1,2023,374.6326
RE1,S102,MINBIO,1,2023,374.6326
RE1,S103,MINBIO,1,2023,374.6326
RE1,S104,MINBIO,1,2023,374.6326
RE1,S105,MINBIO,1,2023,374.6326
RE1,S106,MINBIO,1,2023,374.6326
RE1,S107,MINBIO,1,2023,374.6326
RE1,S108,MINBIO,1,2023,374.6326
RE1,S101,MINBIO,1,2024,384.5032
RE1,S102,MINBIO,1,2024,384.5032
RE1,S103,MINBIO,1,2024,384.5032
RE1,S104,MINBIO,1,2024,384.5032
RE1,S105,MINBIO,1,2024,384.5032
RE1,S106,MINBIO,1,2024,384.5032
RE1,S107,MINBIO,1,2024,384.5032
RE1,S108,MINBIO,1,2024,384.5032
RE1,S101,MINBIO,1,2025,389.5153
RE1,S102,MINBIO,1,2025,389.5153
RE1,S103,MINBIO,1,2025,389.5153
RE1,S104,MINBIO,1,2025,389.5153
RE1,S105,MINBIO,1,2025,389.5153
RE1,S106,MINBIO,1,2025,389.5153
RE1,S107,MINBIO,1,2025,389.5153
RE1,S108,MINBIO,1,2025,389.5153
RE1,S101,MINBIO,1,2026,396.4089
RE1,S102,MINBIO,1,2026,396.4089
RE1,S103,MINBIO,1,2026,396.4089
RE1,S104,MINBIO,1,2026,396.4089
RE1,S105,MINBIO,1,2026,396.4089
RE1,S106,MINBIO,1,2026,396.4089
RE1,S107,MINBIO,1,2026,396.4089
RE1,S108,MINBIO,1,2026,396.4089
RE1,S101,MINBIO,1,2027,402.325
RE1,S102,MINBIO,1,2027,402.325
RE1,S103,MINBIO,1,2027,402.325
RE1,S104,MINBIO,1,2027,402.325
RE1,S105,MINBIO,1,2027,402.325
RE1,S106,MINBIO,1,2027,402.325
RE1,S107,MINBIO,1,2027,402.325
RE1,S108,MINBIO,1,2027,402.325
RE1,S101,MINBIO,1,2028,408.3664
RE1,S102,MINBIO,1,2028,408.3664
RE1,S103,MINBIO,1,2028,408.3664
RE1,S104,MINBIO,1,2028,408.3664
RE1,S105,MINBIO,1,2028,408.3664
RE1,S106,MINBIO,1,2028,408.3664
RE1,S107,MINBIO,1,2028,408.3664
RE1,S108,MINBIO,1,2028,408.3664
RE1,S101,MINBIO,1,2029,414.545
RE1,S102,MINBIO,1,2029,414.545
RE1,S103,MINBIO,1,2029,414.545
RE1,S104,MINBIO,1,2029,414.545
RE1,S105,MINBIO,1,2029,414.545
RE1,S106,MINBIO,1,2029,414.545
RE1,S107,MINBIO,1,2029,414.545
RE1,S108,MINBIO,1,2029,414.545
RE1,S101,MINBIO,1,2030,420.8728
RE1,S102,MINBIO,1,2030,420.8728
RE1,S103,MINBIO,1,2030,420.8728
RE1,S104,MINBIO,1,2030,420.8728
RE1,S105,MINBIO,1,2030,420.8728
RE1,S106,MINBIO,1,2030,420.8728
RE1,S107,MINBIO,1,2030,420.8728
RE1,S108,MINBIO,1,2030,420.8728
RE1,S101,MINBIO,1,2031,416.1532
RE1,S102,MINBIO,1,2031,416.1532
RE1,S103,MINBIO,1,2031,416.1532
RE1,S104,MINBIO,1,2031,416.1532
RE1,S105,MINBIO,1,2031,416.1532
RE1,S106,MINBIO,1,2031,416.1532
RE1,S107,MINBIO,1,2031,416.1532
RE1,S108,MINBIO,1,2031,416.1532
RE1,S101,MINBIO,1,2032,412.2103
RE1,S102,MINBIO,1,2032,412.2103
RE1,S103,MINBIO,1,2032,412.2103
RE1,S104,MINBIO,1,2032,412.2103
RE1,S105,MINBIO,1,2032,412.2103
RE1,S106,MINBIO,1,2032,412.2103
RE1,S107,MINBIO,1,2032,412.2103
RE1,S108,MINBIO,1,2032,412.2103
RE1,S101,MINBIO,1,2033,408.9643
RE1,S102,MINBIO,1,2033,408.9643
RE1,S103,MINBIO,1,2033,408.9643
RE1,S104,MINBIO,1,2033,408.9643
RE1,S105,MINBIO,1,2033,408.9643
RE1,S106,MINBIO,1,2033,408.9643
RE1,S107,MINBIO,1,2033,408.9643
RE1,S108,MINBIO,1,2033,408.9643
RE1,S101,MINBIO,1,2034,406.3528
RE1,S102,MINBIO,1,2034,406.3528
RE1,S103,MINBIO,1,2034,406.3528
RE1,S104,MINBIO,1,2034,406.3528
RE1,S105,MINBIO,1,2034,406.3528
RE1,S106,MINBIO,1,2034,406.3528
RE1,S107,MINBIO,1,2034,406.3528
RE1,S108,MINBIO,1,2034,406.3528
RE1,S101,MINBIO,1,2035,422.6966
RE1,S102,MINBIO,1,2035,422.6966
RE1,S103,MINBIO,1,2035,422.6966
RE1,S104,MINBIO,1,2035,422.6966
RE1,S105,MINBIO,1,2035,422.6966
RE1,S106,MINBIO,1,2035,422.6966
RE1,S107,MINBIO,1,2035,422.6966
RE1,S108,MINBIO,1,2035,422.6966
RE1,S101,MINBIO,1,2036,426.6498
RE1,S102,MINBIO,1,2036,426.6498
RE1,S103,MINBIO,1,2036,426.6498
RE1,S104,MINBIO,1,2036,426.6498
RE1,S105,MINBIO,1,2036,426.6498
RE1,S106,MINBIO,1,2036,426.6498
RE1,S107,MINBIO,1,2036,426.6498
RE1,S108,MINBIO,1,2036,426.6498
RE1,S101,MINBIO,1,2037,430.8013
RE1,S102,MINBIO,1,2037,430.8013
RE1,S103,MINBIO,1,2037,430.8013
RE1,S104,MINBIO,1,2037,430.8013
RE1,S105,MINBIO,1,2037,430.8013
RE1,S106,MINBIO,1,2037,430.8013
