r,t,y,SalvageValue
RE1,PWRBIO001,2042,15.7818
RE1,PWRBIO001,2043,32.8442
RE1,PWRBIO001,2044,41.0016
RE1,PWRBIO001,2045,58.0221
RE1,PWRBIO001,2046,107.1494
RE1,PWRBIO001,2047,125.6174
RE1,PWRBIO001,2048,143.2059
RE1,PWRBIO001,2049,159.9569
RE1,PWRBIO001,2050,175.9102
RE1,PWRBIO001,2051,1296.1671
RE1,PWRBIO001,2052,438.2975
RE1,PWRBIO001,2053,861.6253
RE1,PWRBIO001,2054,347.7298
RE1,PWRBIO001,2055,215.8222
RE1,PWRBIO001,2056,317.0926
RE1,PWRBIO001,2057,299.234
RE1,PWRBIO001,2058,373.7809
RE1,PWRBIO001,2059,402.1183
RE1,PWRBIO001,2060,429.3368
RE1,PWRBIO001,2061,345.6366
RE1,PWRBIO001,2062,318.0565
RE1,PWRBIO001,2063,340.3448
RE1,PWRBIO001,2064,363.074
RE1,PWRBIO001,2065,529.2759
RE1,PWRBIO001,2066,463.7253
RE1,PWRBIO001,2067,492.3689
RE1,PWRBIO001,2068,539.9142
RE1,PWRBIO001,2069,225.796
RE1,PWRNGS001,2045,11.614
RE1,PWRNGS001,2046,27.431
RE1,PWRNGS001,2047,32.159
RE1,PWRNGS001,2048,36.6618
RE1,PWRNGS001,2049,40.9501
RE1,PWRNGS001,2050,45.0343
RE1,PWRNGS001,2051,837.8961
RE1,PWRNGS001,2052,222.3325
RE1,PWRNGS001,2053,224.2568
RE1,PWRNGS001,2054,234.842
RE1,PWRNGS001,2055,125.6957
RE1,PWRNGS001,2056,178.9327
RE1,PWRNGS001,2057,213.0639
RE1,PWRNGS001,2058,96.6219
RE1,PWRNGS001,2059,105.7795
RE1,PWRNGS001,2060,125.1094
RE1,PWRNGS001,2061,64.1715
RE1,PWRNGS001,2066,275.1092
RE1,PWRNGS001,2067,237.4651
RE1,PWRNGS001,2068,218.7632
RE1,PWRSOL001,2048,29.5344
RE1,PWRSOL001,2049,57.6624
RE1,PWRSOL001,2050,78.2621
RE1,PWRSOL001,2051,213.5934
RE1,PWRSOL001,2052,44.4387
RE1,PWRSOL001,2053,54.0922
RE1,PWRSOL001,2054,64.0468
RE1,PWRSOL001,2055,67.2927
RE1,PWRSOL001,2056,77.3747
RE1,PWRSOL001,2057,87.8331
RE1,PWRSOL001,2058,110.618
RE1,PWRSOL001,2059,145.6608
RE1,PWRSOL001,2060,135.3808
RE1,PWRSOL001,2061,123.6257
RE1,PWRSOL001,2062,135.1687
RE1,PWRSOL001,2063,147.2775
RE1,PWRSOL001,2064,159.995
RE1,PWRSOL001,2065,154.1975
RE1,PWRSOL001,2066,165.1266
RE1,PWRSOL001,2067,176.4548
RE1,PWRSOL001,2068,188.2046
RE1,PWRSOL001,2069,197.0632
RE1,PWRSOL001,2070,1326.7478
RE1,PWRHYD001,2022,8.3271
RE1,PWRHYD001,2051,606.2779
RE1,PWRHYD002,2051,193.6721
RE1,PWRWND001,2047,15.389
RE1,PWRWND001,2048,30.0451
RE1,PWRWND001,2049,44.0034
RE1,PWRWND001,2050,57.297
RE1,PWRWND001,2051,616.4138
RE1,PWRWND001,2052,60.0613
RE1,PWRWND001,2053,70.4724
RE1,PWRWND001,2054,81.0205
RE1,PWRWND001,2055,91.7159
RE1,PWRWND001,2056,102.5684
RE1,PWRWND001,2057,247.8044
RE1,PWRWND001,2058,268.0006
RE1,PWRWND001,2059,287.9538
RE1,PWRWND001,2060,307.7022
RE1,PWRWND001,2061,282.2537
RE1,PWRSOL001S,2048,12.9574
RE1,PWRSOL001S,2049,74.4108
RE1,PWRSOL001S,2050,108.2794
RE1,PWRSOL001S,2051,264.8106
RE1,PWRSOL001S,2052,48.8378
RE1,PWRSOL001S,2053,59.4469
RE1,PWRSOL001S,2054,70.3869
RE1,PWRSOL001S,2055,73.9542
RE1,PWRSOL001S,2056,85.0342
RE1,PWRSOL001S,2057,96.5279
RE1,PWRSOL001S,2058,108.4626
RE1,PWRSOL001S,2059,160.0801
RE1,PWRSOL001S,2060,148.7824
RE1,PWRSOL001S,2061,135.8637
RE1,PWRSOL001S,2062,148.5494
RE1,PWRSOL001S,2063,161.8569
RE1,PWRSOL001S,2064,175.8333
RE1,PWRSOL001S,2065,169.4618
RE1,PWRSOL001S,2066,181.4728
RE1,PWRSOL001S,2067,193.9224
RE1,PWRSOL001S,2068,206.8354
RE1,PWRSOL001S,2069,220.2484
RE1,PWRSOL001S,2070,1962.3955
RE1,PWRWND001S,2047,34.8964
RE1,PWRWND001S,2048,140.0636
RE1,PWRWND001S,2049,353.6336
RE1,PWRWND001S,2050,302.6531
RE1,PWRWND001S,2054,310.5626
RE1,PWRWND001S,2055,589.7696
RE1,PWRWND001S,2056,638.8182
RE1,PWRWND001S,2057,685.1451
RE1,PWRWND001S,2062,401.0775
RE1,PWRWND001S,2063,381.3867
RE1,PWRWND001S,2064,545.6981
RE1,PWRWND001S,2065,894.18
RE1,PWRWND001S,2066,771.1464
RE1,PWRWND001S,2067,686.2009
RE1,PWRWND001S,2068,840.5374
RE1,PWRWND001S,2069,822.7854
RE1,PWRTRN,2022,4.0336
RE1,PWRTRN,2023,9.4224
RE1,PWRTRN,2024,13.9716
RE1,PWRTRN,2025,22.1532
RE1,PWRTRN,2026,2.4806
RE1,PWRTRN,2027,7.2227
RE1,PWRTRN,2028,11.708
