r,t,m,y,TotalAnnualTechnologyActivityByMode
RE1,MINBIO,1,2015,27.6641
RE1,MINBIO,1,2016,27.7044
RE1,MINBIO,1,2017,103.4348
RE1,MINBIO,1,2018,179.1675
RE1,MINBIO,1,2019,254.9026
RE1,MINBIO,1,2020,330.6402
RE1,MINBIO,1,2021,334.8497
RE1,MINBIO,1,2022,348.4411
RE1,MINBIO,1,2023,374.6326
RE1,MINBIO,1,2024,384.5032
RE1,MINBIO,1,2025,389.5153
RE1,MINBIO,1,2026,396.4089
RE1,MINBIO,1,2027,402.325
RE1,MINBIO,1,2028,408.3664
RE1,MINBIO,1,2029,414.545
RE1,MINBIO,1,2030,420.8728
RE1,MINBIO,1,2031,416.1532
RE1,MINBIO,1,2032,412.2103
RE1,MINBIO,1,2033,408.9643
RE1,MINBIO,1,2034,406.3528
RE1,MINBIO,1,2035,422.6966
RE1,MINBIO,1,2036,426.6498
RE1,MINBIO,1,2037,430.8013
RE1,MINBIO,1,2038,435.1792
RE1,MINBIO,1,2039,439.8114
RE1,MINBIO,1,2040,444.7267
RE1,MINBIO,1,2041,447.3432
RE1,MINBIO,1,2042,450.0287
RE1,MINBIO,1,2043,453.0527
RE1,MINBIO,1,2044,455.2902
RE1,MINBIO,1,2045,456.1257
RE1,MINBIO,1,2046,461.7486
RE1,MINBIO,1,2047,462.4003
RE1,MINBIO,1,2048,464.9958
RE1,MINBIO,1,2049,465.5775
RE1,MINBIO,1,2050,458.2785
RE1,MINBIO,1,2051,506.236
RE1,MINBIO,1,2052,507.7375
RE1,MINBIO,1,2053,509.3985
RE1,MINBIO,1,2054,511.2006
RE1,MINBIO,1,2055,513.1515
RE1,MINBIO,1,2056,515.2726
RE1,MINBIO,1,2057,517.5681
RE1,MINBIO,1,2058,520.0778
RE1,MINBIO,1,2059,522.7711
RE1,MINBIO,1,2060,525.6535
RE1,MINBIO,1,2061,526.9893
RE1,MINBIO,1,2062,528.8173
RE1,MINBIO,1,2063,530.7792
RE1,MINBIO,1,2064,532.8587
RE1,MINBIO,1,2065,535.557
RE1,MINBIO,1,2066,537.3378
RE1,MINBIO,1,2067,539.758
RE1,MINBIO,1,2068,542.8799
RE1,MINBIO,1,2069,548.5832
RE1,MINBIO,1,2070,532.1226
RE1,IMPCOA,1,2015,8.1033
RE1,IMPCOA,1,2016,8.5372
RE1,IMPCOA,1,2017,8.9943
RE1,IMPCOA,1,2018,9.4759
RE1,IMPCOA,1,2019,9.9832
RE1,IMPCOA,1,2020,10.5178
RE1,IMPCOA,1,2021,10.9212
RE1,IMPCOA,1,2022,19.9724
RE1,IMPCOA,1,2023,20.4011
RE1,IMPCOA,1,2024,20.8432
RE1,IMPCOA,1,2025,21.2993
RE1,IMPCOA,1,2026,21.757
RE1,IMPCOA,1,2027,13.594
RE1,IMPCOA,1,2028,14.082
RE1,IMPCOA,1,2029,14.586
RE1,IMPCOA,1,2030,15.1068
RE1,IMPCOA,1,2031,15.339
RE1,IMPCOA,1,2032,15.5956
RE1,IMPCOA,1,2033,15.875
RE1,IMPCOA,1,2034,16.1759
RE1,IMPCOA,1,2035,17.2471
RE1,IMPCOA,1,2036,17.8341
RE1,IMPCOA,1,2037,18.4376
RE1,IMPCOA,1,2038,19.0585
RE1,IMPCOA,1,2039,19.6975
RE1,IMPCOA,1,2040,20.3554
RE1,IMPCOA,1,2041,20.8804
RE1,IMPCOA,1,2042,21.4162
RE1,IMPCOA,1,2043,21.9632
RE1,IMPCOA,1,2044,22.5219
RE1,IMPCOA,1,2045,23.0927
RE1,IMPCOA,1,2046,23.5749
RE1,IMPCOA,1,2047,24.0719
RE1,IMPCOA,1,2048,24.5836
RE1,IMPCOA,1,2049,25.1102
RE1,IMPCOA,1,2050,25.6518
RE1,IMPCOA,1,2051,26.074
RE1,IMPCOA,1,2052,26.503
RE1,IMPCOA,1,2053,26.9391
RE1,IMPCOA,1,2054,27.3822
RE1,IMPCOA,1,2055,27.8325
RE1,IMPCOA,1,2056,28.2902
RE1,IMPCOA,1,2057,28.7553
RE1,IMPCOA,1,2058,29.2279
RE1,IMPCOA,1,2059,29.7083
RE1,IMPCOA,1,2060,30.1965
RE1,IMPCOA,1,2061,30.5906
RE1,IMPCOA,1,2062,30.9899
RE1,IMPCOA,1,2063,31.3943
RE1,IMPCOA,1,2064,31.8041
RE1,IMPCOA,1,2065,32.2193
RE1,IMPCOA,1,2066,32.64
RE1,IMPCOA,1,2067,33.0663
RE1,IMPCOA,1,2068,33.4982
RE1,IMPCOA,1,2069,33.936
RE1,IMPCOA,1,2070,34.3796
RE1,IMPLFO,1,2015,202.5455
RE1,IMPLFO,1,2016,213.3901
RE1,IMPLFO,1,2017,224.8154
RE1,IMPLFO,1,2018,236.8523
RE1,IMPLFO,1,2019,249.5338
RE1,IMPLFO,1,2020,262.8942
RE1,IMPLFO,1,2021,249.8236
RE1,IMPLFO,1,2022,237.6602
RE1,IMPLFO,1,2023,225.267
RE1,IMPLFO,1,2024,213.2139
RE1,IMPLFO,1,2025,200.7605
RE1,IMPLFO,1,2026,204.4238
RE1,IMPLFO,1,2027,211.7848
RE1,IMPLFO,1,2028,219.3867
RE1,IMPLFO,1,2029,227.2392
