r,t,e,y,AnnualTechnologyEmission
RE1,MINBIO,EMIC02,2015,2766.4145
RE1,MINBIO,EMIC02,2016,2770.4386
RE1,MINBIO,EMIC02,2017,10343.48
RE1,MINBIO,EMIC02,2018,17916.749
RE1,MINBIO,EMIC02,2019,25490.256
RE1,MINBIO,EMIC02,2020,33064.016
RE1,MINBIO,EMIC02,2021,33484.973
RE1,MINBIO,EMIC02,2022,34086.937
RE1,MINBIO,EMIC02,2023,36616.152
RE1,MINBIO,EMIC02,2024,38450.315
RE1,MINBIO,EMIC02,2025,39060.628
RE1,MINBIO,EMIC02,2026,39640.892
RE1,MINBIO,EMIC02,2027,40232.5
RE1,MINBIO,EMIC02,2028,40836.636
RE1,MINBIO,EMIC02,2029,41454.497
RE1,MINBIO,EMIC02,2030,42087.285
RE1,MINBIO,EMIC02,2031,41615.318
RE1,MINBIO,EMIC02,2032,41221.033
RE1,MINBIO,EMIC02,2033,40896.427
RE1,MINBIO,EMIC02,2034,40635.275
RE1,MINBIO,EMIC02,2035,42269.662
RE1,MINBIO,EMIC02,2036,42664.98
RE1,MINBIO,EMIC02,2037,43080.132
RE1,MINBIO,EMIC02,2038,43517.916
RE1,MINBIO,EMIC02,2039,43981.144
RE1,MINBIO,EMIC02,2040,44472.666
RE1,MINBIO,EMIC02,2041,44601.215
RE1,MINBIO,EMIC02,2042,44876.548
RE1,MINBIO,EMIC02,2043,45173.583
RE1,MINBIO,EMIC02,2044,45499.276
RE1,MINBIO,EMIC02,2045,45496.306
RE1,MINBIO,EMIC02,2046,44876.482
RE1,MINBIO,EMIC02,2047,45748.637
RE1,MINBIO,EMIC02,2048,45955.247
RE1,MINBIO,EMIC02,2049,46199.284
RE1,MINBIO,EMIC02,2050,50496.141
RE1,MINBIO,EMIC02,2051,50634.021
RE1,MINBIO,EMIC02,2052,50775.712
RE1,MINBIO,EMIC02,2053,50937.995
RE1,MINBIO,EMIC02,2054,51116.48
RE1,MINBIO,EMIC02,2055,51311.569
RE1,MINBIO,EMIC02,2056,51523.682
RE1,MINBIO,EMIC02,2057,51753.229
RE1,MINBIO,EMIC02,2058,52001.314
RE1,MINBIO,EMIC02,2059,52267.17
RE1,MINBIO,EMIC02,2060,52555.551
RE1,MINBIO,EMIC02,2061,52685.213
RE1,MINBIO,EMIC02,2062,52857.338
RE1,MINBIO,EMIC02,2063,53044.574
RE1,MINBIO,EMIC02,2064,53245.301
RE1,MINBIO,EMIC02,2065,53443.466
RE1,MINBIO,EMIC02,2066,53648.246
RE1,MINBIO,EMIC02,2067,54017.967
RE1,MINBIO,EMIC02,2068,54385.976
RE1,MINBIO,EMIC02,2069,54773.913
RE1,MINBIO,EMIC02,2070,54163.982
RE1,IMPCOA,EMIC02,2015,766.5766
RE1,IMPCOA,EMIC02,2016,807.6204
RE1,IMPCOA,EMIC02,2017,850.8617
RE1,IMPCOA,EMIC02,2018,896.4183
RE1,IMPCOA,EMIC02,2019,944.414
RE1,IMPCOA,EMIC02,2020,994.9795
RE1,IMPCOA,EMIC02,2021,1033.1477
RE1,IMPCOA,EMIC02,2022,1889.392
RE1,IMPCOA,EMIC02,2023,1929.9411
RE1,IMPCOA,EMIC02,2024,1971.7647
RE1,IMPCOA,EMIC02,2025,2014.9177
RE1,IMPCOA,EMIC02,2026,2058.2106
RE1,IMPCOA,EMIC02,2027,1285.9951
RE1,IMPCOA,EMIC02,2028,1332.1551
RE1,IMPCOA,EMIC02,2029,1379.837
RE1,IMPCOA,EMIC02,2030,1429.1012
RE1,IMPCOA,EMIC02,2031,1451.0697
RE1,IMPCOA,EMIC02,2032,1475.3431
RE1,IMPCOA,EMIC02,2033,1501.7721
RE1,IMPCOA,EMIC02,2034,1530.2436
RE1,IMPCOA,EMIC02,2035,1631.576
RE1,IMPCOA,EMIC02,2036,1687.1028
RE1,IMPCOA,EMIC02,2037,1744.1992
RE1,IMPCOA,EMIC02,2038,1802.9373
RE1,IMPCOA,EMIC02,2039,1863.3882
RE1,IMPCOA,EMIC02,2040,1925.6218
RE1,IMPCOA,EMIC02,2041,1975.2882
RE1,IMPCOA,EMIC02,2042,2025.9732
RE1,IMPCOA,EMIC02,2043,2077.7215
RE1,IMPCOA,EMIC02,2044,2130.5719
RE1,IMPCOA,EMIC02,2045,2184.5664
RE1,IMPCOA,EMIC02,2046,2230.1859
RE1,IMPCOA,EMIC02,2047,2277.1998
RE1,IMPCOA,EMIC02,2048,2325.6113
RE1,IMPCOA,EMIC02,2049,2375.4275
RE1,IMPCOA,EMIC02,2050,2426.6572
RE1,IMPCOA,EMIC02,2051,2466.5967
RE1,IMPCOA,EMIC02,2052,2507.1868
RE1,IMPCOA,EMIC02,2053,2548.437
RE1,IMPCOA,EMIC02,2054,2590.3569
RE1,IMPCOA,EMIC02,2055,2632.9578
RE1,IMPCOA,EMIC02,2056,2676.2511
RE1,IMPCOA,EMIC02,2057,2720.2473
RE1,IMPCOA,EMIC02,2058,2764.9612
RE1,IMPCOA,EMIC02,2059,2810.4037
RE1,IMPCOA,EMIC02,2060,2856.5901
RE1,IMPCOA,EMIC02,2061,2893.8738
RE1,IMPCOA,EMIC02,2062,2931.6421
RE1,IMPCOA,EMIC02,2063,2969.9054
RE1,IMPCOA,EMIC02,2064,3008.6708
RE1,IMPCOA,EMIC02,2065,3047.9486
RE1,IMPCOA,EMIC02,2066,3087.7461
RE1,IMPCOA,EMIC02,2067,3273.8877
RE1,IMPCOA,EMIC02,2068,3751.5457
RE1,IMPCOA,EMIC02,2069,3931.9095
RE1,IMPCOA,EMIC02,2070,3846.9642
RE1,IMPLFO,EMIC02,2015,14036.401
RE1,IMPLFO,EMIC02,2016,14787.933
RE1,IMPLFO,EMIC02,2017,15579.704
RE1,IMPLFO,EMIC02,2018,16413.867
RE1,IMPLFO,EMIC02,2019,17292.692
RE1,IMPLFO,EMIC02,2020,18218.571
RE1,IMPLFO,EMIC02,2021,17312.778
RE1,IMPLFO,EMIC02,2022,16464.415
RE1,IMPLFO,EMIC02,2023,15605.163
RE1,IMPLFO,EMIC02,2024,14769.456
RE1,IMPLFO,EMIC02,2025,13912.704
RE1,IMPLFO,EMIC02,2026,14166.569
RE1,IMPLFO,EMIC02,2027,14676.688
RE1,IMPLFO,EMIC02,2028,15203.498
RE1,IMPLFO,EMIC02,2029,15747.678
RE1,IMPLFO,EMIC02,2030,16309.915
RE1,IMPLFO,EMIC02,2031,16560.636
RE1,IMPLFO,EMIC02,2032,16837.661
RE1,IMPLFO,EMIC02,2033,17139.288
RE1,IMPLFO,EMIC02,2034,17464.224
RE1,IMPLFO,EMIC02,2035,18620.702
RE1,IMPLFO,EMIC02,2036,19254.413
RE1,IMPLFO,EMIC02,2037,19906.038
RE1,IMPLFO,EMIC02,2038,20576.398
RE1,IMPLFO,EMIC02,2039,21266.306
RE1,IMPLFO,EMIC02,2040,21976.561
RE1,IMPLFO,EMIC02,2041,22543.389
RE1,IMPLFO,EMIC02,2042,23121.842
RE1,IMPLFO,EMIC02,2043,23712.43
RE1,IMPLFO,EMIC02,2044,24315.597
RE1,IMPLFO,EMIC02,2045,24931.821
RE1,IMPLFO,EMIC02,2046,23890.862
RE1,IMPLFO,EMIC02,2047,22865.816
RE1,IMPLFO,EMIC02,2048,21856.722
RE1,IMPLFO,EMIC02,2049,20863.659
RE1,IMPLFO,EMIC02,2050,11320.124
RE1,IMPLFO,EMIC02,2051,7644.4632
RE1,IMPLFO,EMIC02,2052,6362.8449
RE1,IMPLFO,EMIC02,2053,5085.7792
RE1,IMPLFO,EMIC02,2054,3813.3332
RE1,IMPLFO,EMIC02,2055,2545.5841
RE1,IMPLFO,EMIC02,2056,1282.6114
RE1,IMPLFO,EMIC02,2057,24.4875
RE1,IMPNGS,EMIC02,2060,5464.7979
RE1,IMPNGS,EMIC02,2061,7058.7834
RE1,IMPNGS,EMIC02,2062,6783.9333
RE1,IMPNGS,EMIC02,2063,6652.582
RE1,IMPNGS,EMIC02,2064,6535.0057
RE1,IMPNGS,EMIC02,2065,6535.0057
RE1,IMPNGS,EMIC02,2066,6806.7137
RE1,IMPNGS,EMIC02,2067,7122.7449
RE1,IMPNGS,EMIC02,2068,7391.9257
RE1,IMPNGS,EMIC02,2069,7639.0712
RE1,IMPNGS,EMIC02,2070,3675.7507
RE1,MINNGS,EMIC02,2024,286.1744
RE1,MINNGS,EMIC02,2025,283.6723
RE1,MINNGS,EMIC02,2026,527.0038
RE1,MINNGS,EMIC02,2027,1089.5728
RE1,MINNGS,EMIC02,2028,919.5718
RE1,MINNGS,EMIC02,2029,1367.9041
RE1,MINNGS,EMIC02,2030,1534.5072
RE1,MINNGS,EMIC02,2031,2019.5481
RE1,MINNGS,EMIC02,2032,2453.1583
RE1,MINNGS,EMIC02,2033,2637.5171
RE1,MINNGS,EMIC02,2034,2806.1449
RE1,MINNGS,EMIC02,2035,2312.224
RE1,MINNGS,EMIC02,2036,2507.894
RE1,MINNGS,EMIC02,2037,2713.6249
RE1,MINNGS,EMIC02,2038,2928.9478
RE1,MINNGS,EMIC02,2039,2602.4164
RE1,MINNGS,EMIC02,2040,2449.2612
RE1,MINNGS,EMIC02,2041,2426.4199
RE1,MINNGS,EMIC02,2042,2434.831
RE1,MINNGS,EMIC02,2043,2438.0145
RE1,MINNGS,EMIC02,2044,2450.0988
RE1,MINNGS,EMIC02,2045,2460.3447
RE1,MINNGS,EMIC02,2046,2380.1706
RE1,MINNGS,EMIC02,2047,2783.0244
RE1,MINNGS,EMIC02,2048,3371.3326
RE1,MINNGS,EMIC02,2049,3973.1216
RE1,MINNGS,EMIC02,2050,5556.9193
RE1,MINNGS,EMIC02,2051,5985.651
RE1,MINNGS,EMIC02,2052,6232.7619
RE1,MINNGS,EMIC02,2053,6492.5096
RE1,MINNGS,EMIC02,2054,6758.2856
RE1,MINNGS,EMIC02,2055,7030.2577
RE1,MINNGS,EMIC02,2056,7308.5995
RE1,MINNGS,EMIC02,2057,7593.4838
RE1,MINNGS,EMIC02,2058,7467.0667
RE1,MINNGS,EMIC02,2059,7306.4535
RE1,MINNGS,EMIC02,2060,1876.4902
