r,t,y,CapitalInvestment
RE1,MINBIO,2015,0.0028
RE1,MINBIO,2016,0.0028
RE1,MINBIO,2017,0.0103
RE1,MINBIO,2018,0.0179
RE1,MINBIO,2019,0.0255
RE1,MINBIO,2020,0.0331
RE1,MINBIO,2021,0.0335
RE1,MINBIO,2022,0.0341
RE1,MINBIO,2023,0.0366
RE1,MINBIO,2024,0.0385
RE1,MINBIO,2025,0.0391
RE1,MINBIO,2026,0.0396
RE1,MINBIO,2027,0.0402
RE1,MINBIO,2028,0.0408
RE1,MINBIO,2029,0.0415
RE1,MINBIO,2030,0.0421
RE1,MINBIO,2031,0.0416
RE1,MINBIO,2032,0.0412
RE1,MINBIO,2033,0.0409
RE1,MINBIO,2034,0.0406
RE1,MINBIO,2035,0.0423
RE1,MINBIO,2036,0.0427
RE1,MINBIO,2037,0.0431
RE1,MINBIO,2038,0.0435
RE1,MINBIO,2039,0.044
RE1,MINBIO,2040,0.0445
RE1,MINBIO,2041,0.0446
RE1,MINBIO,2042,0.0449
RE1,MINBIO,2043,0.0452
RE1,MINBIO,2044,0.0455
RE1,MINBIO,2045,0.0456
RE1,MINBIO,2046,0.0449
RE1,MINBIO,2047,0.0459
RE1,MINBIO,2048,0.0461
RE1,MINBIO,2049,0.0464
RE1,MINBIO,2050,0.0509
RE1,MINBIO,2051,0.051
RE1,MINBIO,2052,0.051
RE1,MINBIO,2053,0.0511
RE1,MINBIO,2054,0.0512
RE1,MINBIO,2055,0.0516
RE1,MINBIO,2056,0.0517
RE1,MINBIO,2057,0.0519
RE1,MINBIO,2058,0.0523
RE1,MINBIO,2059,0.0528
RE1,MINBIO,2060,0.0531
RE1,MINBIO,2061,0.0532
RE1,MINBIO,2062,0.0534
RE1,MINBIO,2063,0.0535
RE1,MINBIO,2064,0.0537
RE1,MINBIO,2065,0.054
RE1,MINBIO,2066,0.0541
RE1,MINBIO,2067,0.0547
RE1,MINBIO,2068,0.0549
RE1,MINBIO,2069,0.0548
RE1,MINBIO,2070,0.0546
RE1,IMPCOA,2015,0.0008
RE1,IMPCOA,2016,0.0009
RE1,IMPCOA,2017,0.0009
RE1,IMPCOA,2018,0.0009
RE1,IMPCOA,2019,0.001
RE1,IMPCOA,2020,0.0011
RE1,IMPCOA,2021,0.0011
RE1,IMPCOA,2022,0.002
RE1,IMPCOA,2023,0.002
RE1,IMPCOA,2024,0.0021
RE1,IMPCOA,2025,0.0021
RE1,IMPCOA,2026,0.0022
RE1,IMPCOA,2027,0.0014
RE1,IMPCOA,2028,0.0014
RE1,IMPCOA,2029,0.0015
RE1,IMPCOA,2030,0.0015
RE1,IMPCOA,2031,0.0015
RE1,IMPCOA,2032,0.0016
RE1,IMPCOA,2033,0.0016
RE1,IMPCOA,2034,0.0016
RE1,IMPCOA,2035,0.0017
RE1,IMPCOA,2036,0.0018
RE1,IMPCOA,2037,0.0018
RE1,IMPCOA,2038,0.0019
RE1,IMPCOA,2039,0.002
RE1,IMPCOA,2040,0.002
RE1,IMPCOA,2041,0.0021
RE1,IMPCOA,2042,0.0021
RE1,IMPCOA,2043,0.0022
RE1,IMPCOA,2044,0.0023
RE1,IMPCOA,2045,0.0023
RE1,IMPCOA,2046,0.0024
RE1,IMPCOA,2047,0.0024
RE1,IMPCOA,2048,0.0025
RE1,IMPCOA,2049,0.0025
