r,t,y,DiscountedSalvageValue
RE1,PWRBIO001,2042,1.027
RE1,PWRBIO001,2043,2.1749
RE1,PWRBIO001,2044,3.3452
RE1,PWRBIO001,2045,1.3411
RE1,PWRBIO001,2046,2.3616
RE1,PWRBIO001,2047,15.505
RE1,PWRBIO001,2048,8.1279
RE1,PWRBIO001,2049,9.5932
RE1,PWRBIO001,2050,83.3647
RE1,PWRBIO001,2051,9.0764
RE1,PWRBIO001,2052,12.707
RE1,PWRBIO001,2053,54.1843
RE1,PWRBIO001,2054,42.401
RE1,PWRBIO001,2055,12.3019
RE1,PWRBIO001,2056,17.8525
RE1,PWRBIO001,2057,19.3551
RE1,PWRBIO001,2058,26.3652
RE1,PWRBIO001,2059,28.7374
RE1,PWRBIO001,2060,26.0958
RE1,PWRBIO001,2061,19.9102
RE1,PWRBIO001,2062,20.8478
RE1,PWRBIO001,2063,22.2678
RE1,PWRBIO001,2064,29.4427
RE1,PWRBIO001,2065,34.8256
RE1,PWRBIO001,2066,30.5683
RE1,PWRBIO001,2067,33.529
RE1,PWRBIO001,2068,31.4787
RE1,PWRBIO001,2069,15.6308
RE1,PWRCOA001,2067,4.4244
RE1,PWRCOA001,2068,13.4318
RE1,PWRCOA001,2069,4.327
RE1,PWRNGS001,2047,6.6795
RE1,PWRNGS001,2048,11.1202
RE1,PWRNGS001,2049,12.7056
RE1,PWRNGS001,2050,36.7737
RE1,PWRNGS001,2051,10.786
RE1,PWRNGS001,2052,6.1878
RE1,PWRNGS001,2053,6.8941
RE1,PWRNGS001,2054,11.8725
RE1,PWRNGS001,2055,8.4881
RE1,PWRNGS001,2056,13.6605
RE1,PWRNGS001,2057,19.8822
RE1,PWRNGS001,2059,12.0298
RE1,PWRNGS001,2060,6.3847
RE1,PWRNGS001,2062,6.181
RE1,PWRNGS001,2066,16.6135
RE1,PWRNGS001,2067,21.2791
RE1,PWRNGS001,2068,12.8759
RE1,PWRSOL001,2048,0.5016
RE1,PWRSOL001,2049,6.6667
RE1,PWRSOL001,2050,12.0348
RE1,PWRSOL001,2051,1.8949
RE1,PWRSOL001,2052,2.8917
RE1,PWRSOL001,2053,3.5199
RE1,PWRSOL001,2054,4.1677
RE1,PWRSOL001,2055,4.3789
RE1,PWRSOL001,2056,5.035
RE1,PWRSOL001,2057,5.7155
RE1,PWRSOL001,2058,13.5592
RE1,PWRSOL001,2059,9.4786
RE1,PWRSOL001,2060,8.8096
RE1,PWRSOL001,2061,8.0447
RE1,PWRSOL001,2062,8.7958
RE1,PWRSOL001,2063,9.5838
RE1,PWRSOL001,2064,10.4113
RE1,PWRSOL001,2065,10.0341
RE1,PWRSOL001,2066,10.7452
RE1,PWRSOL001,2067,11.4824
RE1,PWRSOL001,2068,12.247
RE1,PWRSOL001,2069,13.0412
RE1,PWRSOL001,2070,111.319
RE1,PWRHYD001,2022,1.973
RE1,PWRHYD001,2051,39.4522
RE1,PWRHYD002,2051,12.6028
RE1,PWRHYD003,2022,1.0692
RE1,PWRWND001,2047,1.5681
RE1,PWRWND001,2048,1.6625
