r,t,y,TotalCapacityAnnual
RE1,MINBIO,2015,27.6641
RE1,MINBIO,2016,27.7044
RE1,MINBIO,2017,103.4348
RE1,MINBIO,2018,179.1675
RE1,MINBIO,2019,254.9026
RE1,MINBIO,2020,330.6402
RE1,MINBIO,2021,334.8497
RE1,MINBIO,2022,340.8694
RE1,MINBIO,2023,366.1615
RE1,MINBIO,2024,384.5032
RE1,MINBIO,2025,390.6063
RE1,MINBIO,2026,396.4089
RE1,MINBIO,2027,402.325
RE1,MINBIO,2028,408.3664
RE1,MINBIO,2029,414.545
RE1,MINBIO,2030,420.8728
RE1,MINBIO,2031,416.1532
RE1,MINBIO,2032,412.2103
RE1,MINBIO,2033,408.9643
RE1,MINBIO,2034,406.3528
RE1,MINBIO,2035,422.6966
RE1,MINBIO,2036,426.6498
RE1,MINBIO,2037,430.8013
RE1,MINBIO,2038,435.1792
RE1,MINBIO,2039,439.8114
RE1,MINBIO,2040,444.7267
RE1,MINBIO,2041,446.0122
RE1,MINBIO,2042,448.7655
RE1,MINBIO,2043,451.7358
RE1,MINBIO,2044,454.9928
RE1,MINBIO,2045,455.7938
RE1,MINBIO,2046,448.9615
RE1,MINBIO,2047,458.7248
RE1,MINBIO,2048,461.0124
RE1,MINBIO,2049,463.6867
RE1,MINBIO,2050,508.504
RE1,MINBIO,2051,509.6375
RE1,MINBIO,2052,510.3045
RE1,MINBIO,2053,511.1559
RE1,MINBIO,2054,512.1686
RE1,MINBIO,2055,515.5312
RE1,MINBIO,2056,516.8598
RE1,MINBIO,2057,519.2278
RE1,MINBIO,2058,523.3949
RE1,MINBIO,2059,527.9395
RE1,MINBIO,2060,531.2157
RE1,MINBIO,2061,532.2168
RE1,MINBIO,2062,533.6473
RE1,MINBIO,2063,535.1776
RE1,MINBIO,2064,536.8439
RE1,MINBIO,2065,539.5393
RE1,MINBIO,2066,541.2773
RE1,MINBIO,2067,546.5742
RE1,MINBIO,2068,549.4395
RE1,MINBIO,2069,547.7391
RE1,MINBIO,2070,545.7457
RE1,IMPCOA,2015,8.1033
RE1,IMPCOA,2016,8.5372
RE1,IMPCOA,2017,8.9943
RE1,IMPCOA,2018,9.4759
RE1,IMPCOA,2019,9.9832
RE1,IMPCOA,2020,10.5178
RE1,IMPCOA,2021,10.9212
RE1,IMPCOA,2022,19.9724
RE1,IMPCOA,2023,20.4011
RE1,IMPCOA,2024,20.8432
RE1,IMPCOA,2025,21.2993
RE1,IMPCOA,2026,21.757
RE1,IMPCOA,2027,13.594
RE1,IMPCOA,2028,14.082
RE1,IMPCOA,2029,14.586
RE1,IMPCOA,2030,15.1068
RE1,IMPCOA,2031,15.339
RE1,IMPCOA,2032,15.5956
RE1,IMPCOA,2033,15.875
RE1,IMPCOA,2034,16.1759
RE1,IMPCOA,2035,17.2471
RE1,IMPCOA,2036,17.8341
RE1,IMPCOA,2037,18.4376
RE1,IMPCOA,2038,19.0585
RE1,IMPCOA,2039,19.6975
RE1,IMPCOA,2040,20.3554
RE1,IMPCOA,2041,20.8804
RE1,IMPCOA,2042,21.4162
RE1,IMPCOA,2043,21.9632
RE1,IMPCOA,2044,22.5219
RE1,IMPCOA,2045,23.0927
RE1,IMPCOA,2046,23.5749
RE1,IMPCOA,2047,24.0719
RE1,IMPCOA,2048,24.5836
RE1,IMPCOA,2049,25.1102
RE1,IMPCOA,2050,25.6518
RE1,IMPCOA,2051,26.074
RE1,IMPCOA,2052,26.503
RE1,IMPCOA,2053,26.9391
RE1,IMPCOA,2054,27.3822
RE1,IMPCOA,2055,27.8325
RE1,IMPCOA,2056,28.2902
RE1,IMPCOA,2057,28.7553
RE1,IMPCOA,2058,29.2279
RE1,IMPCOA,2059,29.7083
RE1,IMPCOA,2060,30.1965
RE1,IMPCOA,2061,30.5906
RE1,IMPCOA,2062,30.9899
RE1,IMPCOA,2063,31.3943
RE1,IMPCOA,2064,31.8041
RE1,IMPCOA,2065,32.2193
RE1,IMPCOA,2066,32.64
RE1,IMPCOA,2067,35.1215
RE1,IMPCOA,2068,41.7098
RE1,IMPCOA,2069,44.106
RE1,IMPCOA,2070,44.5496
RE1,IMPLFO,2015,202.5455
RE1,IMPLFO,2016,213.3901
RE1,IMPLFO,2017,224.8154
RE1,IMPLFO,2018,236.8523
RE1,IMPLFO,2019,249.5338
RE1,IMPLFO,2020,262.8942
RE1,IMPLFO,2021,249.8236
RE1,IMPLFO,2022,237.5817
RE1,IMPLFO,2023,225.1827
RE1,IMPLFO,2024,213.1235
RE1,IMPLFO,2025,200.7605
RE1,IMPLFO,2026,204.4238
RE1,IMPLFO,2027,211.7848
