r,e,y,AnnualEmissions
RE1,EMIC02,2015,17569.385
RE1,EMIC02,2016,18365.992
RE1,EMIC02,2017,26774.041
RE1,EMIC02,2018,35227.031
RE1,EMIC02,2019,43727.359
RE1,EMIC02,2020,52277.563
RE1,EMIC02,2021,50680.293
RE1,EMIC02,2022,50133.095
RE1,EMIC02,2023,49683.038
RE1,EMIC02,2024,48629.705
RE1,EMIC02,2025,47254.073
RE1,EMIC02,2026,47275.924
RE1,EMIC02,2027,47013.94
RE1,EMIC02,2028,46906.703
RE1,EMIC02,2029,45679.044
RE1,EMIC02,2030,44381.835
RE1,EMIC02,2031,41983.844
RE1,EMIC02,2032,39666.36
RE1,EMIC02,2033,37412.294
RE1,EMIC02,2034,35584.816
RE1,EMIC02,2035,35481.183
RE1,EMIC02,2036,34051.05
RE1,EMIC02,2037,32528.111
RE1,EMIC02,2038,30905.007
RE1,EMIC02,2039,29198.375
RE1,EMIC02,2040,27507.743
RE1,EMIC02,2041,25436.256
RE1,EMIC02,2042,23250.552
RE1,EMIC02,2043,20944.709
RE1,EMIC02,2044,18433.469
RE1,EMIC02,2045,15780.1
RE1,EMIC02,2046,12914.028
RE1,EMIC02,2047,9916.0627
RE1,EMIC02,2048,6773.4216
RE1,EMIC02,2049,3471.0874
