r,t,y,AnnualFixedOperatingCost
RE1,PWRBIO001,2024,3.401
RE1,PWRBIO001,2025,6.401
RE1,PWRBIO001,2026,10.9357
RE1,PWRBIO001,2027,30.0058
RE1,PWRBIO001,2028,30.0058
RE1,PWRBIO001,2029,30.0058
RE1,PWRBIO001,2030,30.0058
RE1,PWRBIO001,2031,30.0058
RE1,PWRBIO001,2032,30.0058
RE1,PWRBIO001,2033,47.5825
RE1,PWRBIO001,2034,44.5825
RE1,PWRBIO001,2035,95.4486
RE1,PWRBIO001,2036,117.3986
RE1,PWRBIO001,2037,123.4544
RE1,PWRBIO001,2038,147.7026
RE1,PWRBIO001,2039,147.7026
RE1,PWRBIO001,2040,147.7026
RE1,PWRBIO001,2041,147.7026
RE1,PWRBIO001,2042,147.7026
RE1,PWRBIO001,2043,147.7026
RE1,PWRBIO001,2044,147.7026
RE1,PWRBIO001,2045,147.7026
RE1,PWRBIO001,2046,147.7026
RE1,PWRBIO001,2047,147.7026
RE1,PWRBIO001,2048,147.7026
RE1,PWRBIO001,2049,147.7026
RE1,PWRBIO001,2050,147.7026
RE1,PWRBIO001,2051,147.7026
RE1,PWRBIO001,2052,147.7026
RE1,PWRBIO001,2053,147.7026
RE1,PWRBIO001,2054,144.3016
RE1,PWRBIO001,2055,144.3016
RE1,PWRBIO001,2056,139.767
RE1,PWRBIO001,2057,120.6969
RE1,PWRBIO001,2058,120.6969
RE1,PWRBIO001,2059,120.6969
RE1,PWRBIO001,2060,120.6969
RE1,PWRBIO001,2061,120.6969
RE1,PWRBIO001,2062,120.6969
RE1,PWRBIO001,2063,103.1202
RE1,PWRBIO001,2064,103.1202
RE1,PWRBIO001,2065,52.254
RE1,PWRBIO001,2066,30.304
RE1,PWRBIO001,2067,24.2482
RE1,PWRCOA001,2015,9.36
RE1,PWRCOA001,2016,9.36
RE1,PWRCOA001,2017,9.36
RE1,PWRCOA001,2018,9.36
RE1,PWRCOA001,2019,9.36
RE1,PWRCOA001,2020,9.36
RE1,PWRCOA001,2021,9.36
RE1,PWRCOA001,2022,9.36
RE1,PWRCOA001,2023,9.36
RE1,PWRCOA001,2024,9.36
RE1,PWRCOA001,2025,9.36
RE1,PWRCOA001,2026,9.36
RE1,PWRCOA001,2035,2.4546
RE1,PWRCOA001,2036,7.1584
RE1,PWRCOA001,2037,11.1177
RE1,PWRCOA001,2038,32.2821
RE1,PWRCOA001,2039,32.2821
RE1,PWRCOA001,2040,32.2821
RE1,PWRCOA001,2041,32.2821
RE1,PWRCOA001,2042,32.2821
RE1,PWRCOA001,2043,32.2821
RE1,PWRCOA001,2044,32.2821
RE1,PWRCOA001,2045,32.2821
RE1,PWRCOA001,2046,32.2821
RE1,PWRCOA001,2047,32.2821
RE1,PWRCOA001,2048,32.2821
RE1,PWRCOA001,2049,32.2821
RE1,PWRCOA001,2050,32.2821
RE1,PWRCOA001,2051,32.2821
RE1,PWRCOA001,2052,32.2821
RE1,PWRCOA001,2053,32.2821
RE1,PWRCOA001,2054,32.2821
RE1,PWRCOA001,2055,32.2821
RE1,PWRCOA001,2056,32.2821
RE1,PWRCOA001,2057,32.2821
RE1,PWRCOA001,2058,32.2821
RE1,PWRCOA001,2059,32.2821
RE1,PWRCOA001,2060,32.2821
RE1,PWRCOA001,2061,32.2821
RE1,PWRCOA001,2062,32.2821
RE1,PWRCOA001,2063,32.2821
RE1,PWRCOA001,2064,32.2821
RE1,PWRCOA001,2065,32.2821
RE1,PWRCOA001,2066,32.2821
RE1,PWRCOA001,2067,32.2821
RE1,PWRCOA001,2068,32.2821
RE1,PWRCOA001,2069,32.2821
RE1,PWRCOA001,2070,29.8275
RE1,PWROHC001,2015,2.1
RE1,PWROHC001,2016,2.1
RE1,PWROHC001,2017,2.1
RE1,PWROHC001,2018,2.1
RE1,PWROHC001,2019,2.1
RE1,PWROHC001,2020,2.1
RE1,PWROHC001,2021,2.1
RE1,PWROHC001,2022,2.1
RE1,PWROHC001,2023,2.1
RE1,PWROHC001,2024,2.1
RE1,PWROHC001,2025,2.1
RE1,PWROHC001,2038,34.6034
RE1,PWROHC001,2039,34.6034
RE1,PWROHC001,2040,34.6034
RE1,PWROHC001,2041,34.6034
RE1,PWROHC001,2042,34.6034
