r,t,e,y,AnnualTechnologyEmission
RE1,IMPOIL,EMIC02,2039,1508.4637
RE1,IMPOIL,EMIC02,2040,4940.6497
RE1,IMPOIL,EMIC02,2041,7177.3183
RE1,IMPOIL,EMIC02,2042,9017.5224
RE1,IMPOIL,EMIC02,2043,10432.597
RE1,IMPOIL,EMIC02,2044,9169.6863
RE1,IMPOIL,EMIC02,2045,7835.0578
RE1,IMPOIL,EMIC02,2046,6398.9395
RE1,IMPOIL,EMIC02,2047,4900.374
RE1,IMPOIL,EMIC02,2048,3336.3682
RE1,IMPOIL,EMIC02,2049,1703.9176
RE1,MINBIO,EMIC02,2015,2766.41
RE1,MINBIO,EMIC02,2016,2770.4386
RE1,MINBIO,EMIC02,2017,10343.48
RE1,MINBIO,EMIC02,2018,17916.749
RE1,MINBIO,EMIC02,2019,25490.256
RE1,MINBIO,EMIC02,2020,33064.016
RE1,MINBIO,EMIC02,2021,32368.804
RE1,MINBIO,EMIC02,2022,31641.717
RE1,MINBIO,EMIC02,2023,30883.806
RE1,MINBIO,EMIC02,2024,30096.023
RE1,MINBIO,EMIC02,2025,29279.083
RE1,MINBIO,EMIC02,2026,28405.112
RE1,MINBIO,EMIC02,2027,27506.022
RE1,MINBIO,EMIC02,2028,26582.167
RE1,MINBIO,EMIC02,2029,25633.818
RE1,MINBIO,EMIC02,2030,24661.153
RE1,MINBIO,EMIC02,2031,23003.186
RE1,MINBIO,EMIC02,2032,21425.91
RE1,MINBIO,EMIC02,2033,19918.486
RE1,MINBIO,EMIC02,2034,18472.069
RE1,MINBIO,EMIC02,2035,17855.31
RE1,MINBIO,EMIC02,2036,16663.813
RE1,MINBIO,EMIC02,2037,15469.723
RE1,MINBIO,EMIC02,2038,14273.992
RE1,MINBIO,EMIC02,2039,13077.438
RE1,MINBIO,EMIC02,2040,11880.733
RE1,MINBIO,EMIC02,2041,10640.967
RE1,MINBIO,EMIC02,2042,9411.7413
RE1,MINBIO,EMIC02,2043,8193.549
RE1,MINBIO,EMIC02,2044,6986.776
RE1,MINBIO,EMIC02,2045,5791.7483
RE1,MINBIO,EMIC02,2046,4589.0533
RE1,MINBIO,EMIC02,2047,3409.53
RE1,MINBIO,EMIC02,2048,2252.1227
RE1,MINBIO,EMIC02,2049,1115.892
RE1,IMPCOA,EMIC02,2015,766.5722
RE1,IMPCOA,EMIC02,2016,807.6191
RE1,IMPCOA,EMIC02,2017,850.8608
RE1,IMPCOA,EMIC02,2018,896.4183
RE1,IMPCOA,EMIC02,2019,944.4107
RE1,IMPCOA,EMIC02,2020,994.9795
RE1,IMPCOA,EMIC02,2021,998.7073
RE1,IMPCOA,EMIC02,2022,1000.9815
RE1,IMPCOA,EMIC02,2023,1001.7232
RE1,IMPCOA,EMIC02,2024,1000.8686
RE1,IMPCOA,EMIC02,2025,1133.3159
RE1,IMPCOA,EMIC02,2026,1472.2182
RE1,IMPCOA,EMIC02,2027,985.9275
RE1,IMPCOA,EMIC02,2028,976.9153
RE1,IMPCOA,EMIC02,2029,965.8849
RE1,IMPCOA,EMIC02,2030,952.7355
RE1,IMPCOA,EMIC02,2031,919.0106
RE1,IMPCOA,EMIC02,2032,885.2063
RE1,IMPCOA,EMIC02,2033,851.0058
RE1,IMPCOA,EMIC02,2034,1191.6674
RE1,IMPCOA,EMIC02,2035,1792.7977
RE1,IMPCOA,EMIC02,2036,2155.6773
RE1,IMPCOA,EMIC02,2037,2481.8922
RE1,IMPCOA,EMIC02,2038,2765.2791
RE1,IMPCOA,EMIC02,2039,2817.4869
RE1,IMPCOA,EMIC02,2040,2582.0975
RE1,IMPCOA,EMIC02,2041,2338.7873
RE1,IMPCOA,EMIC02,2042,2092.4385
RE1,IMPCOA,EMIC02,2043,1842.9578
RE1,IMPCOA,EMIC02,2044,1842.8194
RE1,IMPCOA,EMIC02,2045,1768.6337
RE1,IMPCOA,EMIC02,2046,1599.4299
RE1,IMPCOA,EMIC02,2047,1346.5761
RE1,IMPCOA,EMIC02,2048,1001.7982
RE1,IMPCOA,EMIC02,2049,556.1581
RE1,IMPLFO,EMIC02,2015,14036.403
RE1,IMPLFO,EMIC02,2016,14787.934
RE1,IMPLFO,EMIC02,2017,15579.7
RE1,IMPLFO,EMIC02,2018,16413.864
RE1,IMPLFO,EMIC02,2019,17292.692
RE1,IMPLFO,EMIC02,2020,18218.568
RE1,IMPLFO,EMIC02,2021,17312.781
RE1,IMPLFO,EMIC02,2022,16592.809
RE1,IMPLFO,EMIC02,2023,16207.104
RE1,IMPLFO,EMIC02,2024,15942.409
RE1,IMPLFO,EMIC02,2025,15275.812
RE1,IMPLFO,EMIC02,2026,15859.544
RE1,IMPLFO,EMIC02,2027,17068.039
RE1,IMPLFO,EMIC02,2028,17887.776
RE1,IMPLFO,EMIC02,2029,17685.853
RE1,IMPLFO,EMIC02,2030,17445.037
RE1,IMPLFO,EMIC02,2031,16827.545
RE1,IMPLFO,EMIC02,2032,16208.562
RE1,IMPLFO,EMIC02,2033,15582.312
RE1,IMPLFO,EMIC02,2034,14943.749
RE1,IMPLFO,EMIC02,2035,14937.487
RE1,IMPLFO,EMIC02,2036,14416.124
RE1,IMPLFO,EMIC02,2037,13839.437
RE1,IMPLFO,EMIC02,2038,13205.073
RE1,IMPLFO,EMIC02,2039,11226.977
RE1,IMPLFO,EMIC02,2040,7549.0985
RE1,IMPLFO,EMIC02,2041,4743.4672
RE1,IMPLFO,EMIC02,2042,2219.5293
RE1,MINNGS,EMIC02,2022,897.5873
RE1,MINNGS,EMIC02,2023,1590.4047
RE1,MINNGS,EMIC02,2024,1590.4047
RE1,MINNGS,EMIC02,2025,1565.8612
RE1,MINNGS,EMIC02,2026,1539.0499
RE1,MINNGS,EMIC02,2027,1453.9509
RE1,MINNGS,EMIC02,2028,1459.8447
RE1,MINNGS,EMIC02,2029,1393.4881
RE1,MINNGS,EMIC02,2030,1322.9091
