r,t,y,AnnualVariableOperatingCost
RE1,IMPOIL,2039,342.2751
RE1,IMPOIL,2040,1138.8433
RE1,IMPOIL,2041,1680.2562
RE1,IMPOIL,2042,2143.5377
RE1,IMPOIL,2043,2517.4868
RE1,IMPOIL,2044,2245.76
RE1,IMPOIL,2045,1945.9376
RE1,IMPOIL,2046,1612.3058
RE1,IMPOIL,2047,1252.3698
RE1,IMPOIL,2048,864.6792
RE1,IMPOIL,2049,447.7375
RE1,MINBIO,2015,44.2626
RE1,MINBIO,2016,44.327
RE1,MINBIO,2017,165.4957
RE1,MINBIO,2018,286.668
RE1,MINBIO,2019,407.8441
RE1,MINBIO,2020,529.0243
RE1,MINBIO,2021,517.9009
RE1,MINBIO,2022,506.2675
RE1,MINBIO,2023,494.1409
RE1,MINBIO,2024,481.5364
RE1,MINBIO,2025,468.4653
RE1,MINBIO,2026,454.4818
RE1,MINBIO,2027,440.0964
RE1,MINBIO,2028,425.3147
RE1,MINBIO,2029,410.1411
RE1,MINBIO,2030,394.5784
RE1,MINBIO,2031,368.051
RE1,MINBIO,2032,342.8146
RE1,MINBIO,2033,318.6958
RE1,MINBIO,2034,295.5531
RE1,MINBIO,2035,285.685
RE1,MINBIO,2036,266.621
RE1,MINBIO,2037,247.5156
RE1,MINBIO,2038,228.3839
RE1,MINBIO,2039,209.239
RE1,MINBIO,2040,190.0917
RE1,MINBIO,2041,170.2555
RE1,MINBIO,2042,150.5879
RE1,MINBIO,2043,131.0968
RE1,MINBIO,2044,111.7884
RE1,MINBIO,2045,92.668
RE1,MINBIO,2046,73.4249
RE1,MINBIO,2047,54.5525
RE1,MINBIO,2048,36.034
RE1,MINBIO,2049,17.8543
RE1,IMPCOA,2015,39.7062
RE1,IMPCOA,2016,42.1738
RE1,IMPCOA,2017,44.7916
RE1,IMPCOA,2018,47.5689
RE1,IMPCOA,2019,50.515
RE1,IMPCOA,2020,53.6405
RE1,IMPCOA,2021,54.2638
RE1,IMPCOA,2022,54.8106
RE1,IMPCOA,2023,55.2748
RE1,IMPCOA,2024,55.6508
RE1,IMPCOA,2025,63.4944
RE1,IMPCOA,2026,83.1041
RE1,IMPCOA,2027,56.0707
RE1,IMPCOA,2028,55.9713
RE1,IMPCOA,2029,55.7477
RE1,IMPCOA,2030,55.3916
RE1,IMPCOA,2031,53.8194
RE1,IMPCOA,2032,52.2141
RE1,IMPCOA,2033,50.5566
RE1,IMPCOA,2034,71.2985
RE1,IMPCOA,2035,108.0227
RE1,IMPCOA,2036,130.799
RE1,IMPCOA,2037,151.642
RE1,IMPCOA,2038,170.126
RE1,IMPCOA,2039,174.5293
RE1,IMPCOA,2040,161.0399
RE1,IMPCOA,2041,145.8652
RE1,IMPCOA,2042,130.5009
RE1,IMPCOA,2043,114.9413
RE1,IMPCOA,2044,114.9327
RE1,IMPCOA,2045,110.3059
RE1,IMPCOA,2046,99.753
RE1,IMPCOA,2047,83.9831
RE1,IMPCOA,2048,62.48
RE1,IMPCOA,2049,34.6864
RE1,IMPLFO,2015,3219.1569
RE1,IMPLFO,2016,2664.9649
RE1,IMPLFO,2017,2296.3534
RE1,IMPLFO,2018,3065.0819
RE1,IMPLFO,2019,3849.8075
RE1,IMPLFO,2020,3877.6106
RE1,IMPLFO,2021,3718.7154
RE1,IMPLFO,2022,3596.55
RE1,IMPLFO,2023,3544.6738
RE1,IMPLFO,2024,3517.9905
RE1,IMPLFO,2025,3400.797
RE1,IMPLFO,2026,3614.1497
RE1,IMPLFO,2027,3979.3013
RE1,IMPLFO,2028,4264.4819
RE1,IMPLFO,2029,4309.3458
RE1,IMPLFO,2030,4342.4045
RE1,IMPLFO,2031,4266.2075
RE1,IMPLFO,2032,4183.9373
RE1,IMPLFO,2033,4094.0558
RE1,IMPLFO,2034,3995.113
RE1,IMPLFO,2035,4059.3752
RE1,IMPLFO,2036,3984.0925
RE1,IMPLFO,2037,3888.4623
RE1,IMPLFO,2038,3771.0488
RE1,IMPLFO,2039,3257.8645
RE1,IMPLFO,2040,2225.3827
RE1,IMPLFO,2041,1420.1653
RE1,IMPLFO,2042,674.7369
RE1,UPSREF001,2039,14.7708
RE1,UPSREF001,2040,48.3786
RE1,UPSREF001,2041,70.2799
RE1,UPSREF001,2042,88.2991
RE1,UPSREF001,2043,102.1555
RE1,UPSREF001,2044,89.7891
RE1,UPSREF001,2045,76.7205
RE1,UPSREF001,2046,62.6581
RE1,UPSREF001,2047,47.9842
RE1,UPSREF001,2048,32.6696
RE1,UPSREF001,2049,16.6847
RE1,MINNGS,2022,118.0783
RE1,MINNGS,2023,213.1879
RE1,MINNGS,2024,217.1569
RE1,MINNGS,2025,217.7133
RE1,MINNGS,2026,217.8263
RE1,MINNGS,2027,209.4104
RE1,MINNGS,2028,213.9024
RE1,MINNGS,2029,207.657
RE1,MINNGS,2030,200.4408
RE1,MINNGS,2031,190.065
RE1,MINNGS,2032,179.4628
RE1,MINNGS,2033,168.6196
RE1,MINNGS,2034,157.8363
RE1,MINNGS,2035,146.8702
RE1,MINNGS,2036,135.7607
RE1,MINNGS,2037,124.5513
RE1,MINNGS,2038,113.2901
RE1,MINNGS,2039,98.8195
RE1,MINNGS,2040,97.9701
RE1,MINNGS,2041,94.5381
RE1,MINNGS,2042,89.8801
RE1,MINNGS,2043,83.9304
RE1,MINNGS,2044,76.6212
RE1,MINNGS,2045,67.8812
RE1,MINNGS,2046,57.6362
RE1,MINNGS,2047,45.8087
RE1,MINNGS,2048,32.3175
RE1,MINNGS,2049,16.7858
RE1,MINSOL,2015,0.0
RE1,MINSOL,2017,0.0
RE1,MINSOL,2021,0.0001
RE1,MINSOL,2022,0.0001
RE1,MINSOL,2023,0.0001
RE1,MINSOL,2024,0.0002
RE1,MINSOL,2025,0.0007
RE1,MINSOL,2026,0.0007
RE1,MINSOL,2027,0.0008
RE1,MINSOL,2028,0.0008
RE1,MINSOL,2029,0.0009
RE1,MINSOL,2030,0.0021
RE1,MINSOL,2031,0.0027
RE1,MINSOL,2032,0.0031
RE1,MINSOL,2033,0.0033
RE1,MINSOL,2034,0.0034
RE1,MINSOL,2035,0.0037
RE1,MINSOL,2036,0.004
RE1,MINSOL,2037,0.0042
RE1,MINSOL,2038,0.0044
RE1,MINSOL,2039,0.0047
RE1,MINSOL,2040,0.005
RE1,MINSOL,2041,0.0053
RE1,MINSOL,2042,0.0055
RE1,MINSOL,2043,0.0058
RE1,MINSOL,2044,0.0061
RE1,MINSOL,2045,0.0064
RE1,MINSOL,2046,0.0067
RE1,MINSOL,2047,0.007
RE1,MINSOL,2048,0.0073
RE1,MINSOL,2049,0.0077
RE1,MINSOL,2050,0.0104
RE1,MINSOL,2051,0.0106
RE1,MINSOL,2052,0.0109
RE1,MINSOL,2053,0.0112
RE1,MINSOL,2054,0.0115
RE1,MINSOL,2055,0.0118
RE1,MINSOL,2056,0.0121
RE1,MINSOL,2057,0.0125
RE1,MINSOL,2058,0.0128
RE1,MINSOL,2059,0.0131
RE1,MINSOL,2060,0.0135
RE1,MINSOL,2061,0.0137
RE1,MINSOL,2062,0.014
RE1,MINSOL,2063,0.0143
RE1,MINSOL,2064,0.0146
RE1,MINSOL,2065,0.0148
RE1,MINSOL,2066,0.0151
RE1,MINSOL,2067,0.0154
RE1,MINSOL,2068,0.0157
RE1,MINSOL,2069,0.016
RE1,MINSOL,2070,0.021
RE1,MINWND,2024,0.0
RE1,MINWND,2025,0.0
RE1,MINWND,2026,0.0
RE1,MINWND,2027,0.0
RE1,MINWND,2028,0.0002
RE1,MINWND,2029,0.0017
RE1,MINWND,2030,0.0017
RE1,MINWND,2031,0.0018
RE1,MINWND,2032,0.0021
RE1,MINWND,2033,0.0023
RE1,MINWND,2034,0.0025
RE1,MINWND,2035,0.0031
RE1,MINWND,2036,0.0032
RE1,MINWND,2037,0.0034
RE1,MINWND,2038,0.0037
RE1,MINWND,2039,0.0039
RE1,MINWND,2040,0.0041
RE1,MINWND,2041,0.0043
RE1,MINWND,2042,0.0045
RE1,MINWND,2043,0.0048
RE1,MINWND,2044,0.005
RE1,MINWND,2045,0.0052
RE1,MINWND,2046,0.0055
RE1,MINWND,2047,0.0057
RE1,MINWND,2048,0.006
RE1,MINWND,2049,0.0063
RE1,MINWND,2050,0.0085
RE1,MINWND,2051,0.0087
RE1,MINWND,2052,0.009
RE1,MINWND,2053,0.0092
RE1,MINWND,2054,0.0094
RE1,MINWND,2055,0.0097
RE1,MINWND,2056,0.01
RE1,MINWND,2057,0.0102
RE1,MINWND,2058,0.0105
RE1,MINWND,2059,0.0108
RE1,MINWND,2060,0.0111
RE1,MINWND,2061,0.0113
RE1,MINWND,2062,0.0115
RE1,MINWND,2063,0.0117
RE1,MINWND,2064,0.012
RE1,MINWND,2065,0.0122
RE1,MINWND,2066,0.0124
RE1,MINWND,2067,0.0127
RE1,MINWND,2068,0.0129
RE1,MINWND,2069,0.0132
RE1,MINWND,2070,0.0173
RE1,MINHYD,2015,0.0005
RE1,MINHYD,2016,0.0005
RE1,MINHYD,2017,0.0006
RE1,MINHYD,2018,0.0005
RE1,MINHYD,2019,0.0004
RE1,MINHYD,2020,0.0003
RE1,MINHYD,2021,0.0011
RE1,MINHYD,2022,0.0013
RE1,MINHYD,2023,0.0013
RE1,MINHYD,2024,0.0013
RE1,MINHYD,2025,0.0013
RE1,MINHYD,2026,0.0013
RE1,MINHYD,2027,0.0013
RE1,MINHYD,2028,0.0013
RE1,MINHYD,2029,0.0013
RE1,MINHYD,2030,0.0013
RE1,MINHYD,2031,0.0013
RE1,MINHYD,2032,0.0013
RE1,MINHYD,2033,0.0013
RE1,MINHYD,2034,0.0013
RE1,MINHYD,2035,0.0013
RE1,MINHYD,2036,0.0013
