r,t,y,CapitalInvestment
RE1,IMPOIL,2039,0.0021
RE1,IMPOIL,2040,0.0067
RE1,IMPOIL,2041,0.0098
RE1,IMPOIL,2042,0.0123
RE1,IMPOIL,2043,0.0142
RE1,IMPOIL,2044,0.0125
RE1,IMPOIL,2045,0.0107
RE1,IMPOIL,2046,0.0087
RE1,IMPOIL,2047,0.0102
RE1,IMPOIL,2048,0.0061
RE1,IMPOIL,2049,0.0028
RE1,MINBIO,2015,0.0028
RE1,MINBIO,2016,0.0028
RE1,MINBIO,2017,0.0103
RE1,MINBIO,2018,0.0179
RE1,MINBIO,2019,0.0255
RE1,MINBIO,2020,0.0331
RE1,MINBIO,2021,0.0324
RE1,MINBIO,2022,0.0316
RE1,MINBIO,2023,0.0309
RE1,MINBIO,2024,0.0301
RE1,MINBIO,2025,0.0293
RE1,MINBIO,2026,0.0284
RE1,MINBIO,2027,0.0275
RE1,MINBIO,2028,0.0266
RE1,MINBIO,2029,0.0256
RE1,MINBIO,2030,0.0247
RE1,MINBIO,2031,0.023
RE1,MINBIO,2032,0.0214
RE1,MINBIO,2033,0.0199
RE1,MINBIO,2034,0.0185
RE1,MINBIO,2035,0.0179
RE1,MINBIO,2036,0.0167
RE1,MINBIO,2037,0.0155
RE1,MINBIO,2038,0.0143
RE1,MINBIO,2039,0.0136
RE1,MINBIO,2040,0.0119
RE1,MINBIO,2041,0.0107
RE1,MINBIO,2042,0.0096
RE1,MINBIO,2043,0.0083
RE1,MINBIO,2044,0.007
RE1,MINBIO,2045,0.0058
RE1,MINBIO,2046,0.0046
RE1,MINBIO,2047,0.0034
RE1,MINBIO,2048,0.0023
RE1,MINBIO,2049,0.0011
RE1,IMPCOA,2015,0.0008
RE1,IMPCOA,2016,0.0009
RE1,IMPCOA,2017,0.0009
RE1,IMPCOA,2018,0.0009
RE1,IMPCOA,2019,0.001
RE1,IMPCOA,2020,0.0011
RE1,IMPCOA,2021,0.0011
RE1,IMPCOA,2022,0.0011
RE1,IMPCOA,2023,0.0011
RE1,IMPCOA,2024,0.0011
RE1,IMPCOA,2025,0.0012
