r,t,y,DiscountedSalvageValue
RE1,UPSREF001,2039,5.3675
RE1,UPSREF001,2040,15.9022
RE1,UPSREF001,2041,12.6529
RE1,UPSREF001,2042,12.2043
RE1,UPSREF001,2043,10.6989
RE1,PWRCOA001,2037,0.4803
RE1,PWRCOA001,2038,5.0126
RE1,PWRSOL001,2048,1.3146
RE1,PWRSOL001,2049,5.0795
RE1,PWRSOL001,2050,12.0348
RE1,PWRSOL001,2051,1.8949
RE1,PWRSOL001,2052,2.8917
RE1,PWRSOL001,2053,3.5199
RE1,PWRSOL001,2054,4.1677
RE1,PWRSOL001,2055,4.3789
RE1,PWRSOL001,2056,5.035
RE1,PWRSOL001,2057,5.7155
RE1,PWRSOL001,2058,13.5592
RE1,PWRSOL001,2059,9.4786
RE1,PWRSOL001,2060,8.8096
RE1,PWRSOL001,2061,8.0447
RE1,PWRSOL001,2062,8.7958
RE1,PWRSOL001,2063,9.5838
RE1,PWRSOL001,2064,10.4113
RE1,PWRSOL001,2065,10.0341
RE1,PWRSOL001,2066,10.7452
RE1,PWRSOL001,2067,11.4824
RE1,PWRSOL001,2068,12.247
RE1,PWRSOL001,2069,13.0412
RE1,PWRSOL001,2070,115.1488
RE1,PWRHYD001,2022,1.582
RE1,PWRHYD001,2051,39.4522
RE1,PWRHYD002,2051,12.6028
RE1,PWRWND001,2047,0.8057
RE1,PWRWND001,2048,1.6625
RE1,PWRWND001,2049,2.5728
RE1,PWRWND001,2050,26.4717
RE1,PWRWND001,2051,3.2392
RE1,PWRWND001,2052,3.9084
RE1,PWRWND001,2053,15.6135
RE1,PWRWND001,2054,40.319
RE1,PWRWND001,2055,8.8605
RE1,PWRWND001,2056,9.0713
RE1,PWRWND001,2057,10.1997
RE1,PWRWND001,2058,13.2787
RE1,PWRWND001,2059,12.5835
RE1,PWRWND001,2060,18.247
RE1,PWRWND001,2061,13.8951
RE1,PWRWND001,2062,15.1132
RE1,PWRWND001,2063,49.6085
RE1,PWRWND001,2064,8.9301
RE1,PWRWND001,2065,9.4264
RE1,PWRWND001,2066,9.9248
RE1,PWRWND001,2067,10.426
RE1,PWRWND001,2068,20.8136
