r,t,f,y,ProductionByTechnologyAnnual
RE1,BSTOPBUS,TRABUS,2039,2.1765
RE1,BSTOPBUS,TRABUS,2040,6.7119
RE1,BSTOPBUS,TRABUS,2041,3.9991
RE1,BSTOPBUS,TRABUS,2042,4.8247
RE1,BSTOPBUS,TRABUS,2043,5.6675
RE1,BSTOPBUS,TRABUS,2044,20.6151
RE1,BSTOPBUS,TRABUS,2045,11.8885
RE1,BSTOPBUS,TRABUS,2046,22.2376
RE1,BSTOPBUS,TRABUS,2047,23.0033
RE1,BSTOPBUS,TRABUS,2048,37.8786
RE1,BSTOPBUS,TRABUS,2049,38.69
RE1,BSTOPBUS,TRABUS,2050,39.5244
RE1,BSTOPBUS,TRABUS,2051,26.0281
RE1,BSTOPBUS,TRABUS,2052,37.4002
RE1,BSTOPBUS,TRABUS,2053,27.2722
RE1,BSTOPBUS,TRABUS,2054,27.9264
RE1,BSTOPBUS,TRABUS,2055,28.6028
RE1,BSTOPBUS,TRABUS,2056,29.6266
RE1,BSTOPBUS,TRABUS,2057,33.062
RE1,BSTOPBUS,TRABUS,2058,45.0345
RE1,BSTOPBUS,TRABUS,2059,45.7747
RE1,BSTOPBUS,TRABUS,2060,46.5269
RE1,BSTOPBUS,TRABUS,2061,47.1342
RE1,BSTOPBUS,TRABUS,2062,47.7494
RE1,BSTOPBUS,TRABUS,2063,48.3726
RE1,BSTOPBUS,TRABUS,2064,49.004
RE1,BSTOPBUS,TRABUS,2065,49.6437
RE1,BSTOPBUS,TRABUS,2066,50.2919
RE1,BSTOPBUS,TRABUS,2067,50.9487
RE1,BSTOPBUS,TRABUS,2068,51.6143
RE1,BSTOPBUS,TRABUS,2069,52.2887
RE1,BSTOPBUS,TRABUS,2070,33.8888
RE1,BSTOPCAR,TRACAR,2039,2.1129
RE1,BSTOPCAR,TRACAR,2040,2.4423
RE1,BSTOPCAR,TRACAR,2041,9.1769
RE1,BSTOPCAR,TRACAR,2042,20.9272
RE1,BSTOPCAR,TRACAR,2043,25.4402
RE1,BSTOPCAR,TRACAR,2044,8.2313
RE1,BSTOPCAR,TRACAR,2045,25.5427
RE1,BSTOPCAR,TRACAR,2046,22.49
RE1,BSTOPCAR,TRACAR,2047,27.3867
RE1,BSTOPCAR,TRACAR,2048,40.2016
RE1,BSTOPCAR,TRACAR,2049,47.2877
RE1,BSTOPCAR,TRACAR,2050,31.4431
RE1,BSTOPCAR,TRACAR,2051,49.1026
RE1,BSTOPCAR,TRACAR,2052,30.8752
RE1,BSTOPCAR,TRACAR,2053,50.7318
RE1,BSTOPCAR,TRACAR,2054,50.5402
RE1,BSTOPCAR,TRACAR,2055,45.7244
RE1,BSTOPCAR,TRACAR,2056,49.3753
RE1,BSTOPCAR,TRACAR,2057,33.8716
RE1,BSTOPCAR,TRACAR,2058,34.7617
RE1,BSTOPCAR,TRACAR,2059,41.4702
RE1,BSTOPCAR,TRACAR,2060,33.803
RE1,BSTOPCAR,TRACAR,2061,41.5224
RE1,BSTOPCAR,TRACAR,2062,43.2631
RE1,BSTOPCAR,TRACAR,2063,43.1821
RE1,BSTOPCAR,TRACAR,2064,28.0245
RE1,BSTOPCAR,TRACAR,2065,26.553
RE1,BSTOPCAR,TRACAR,2066,36.3256
RE1,BSTOPCAR,TRACAR,2067,35.4056
RE1,BSTOPCAR,TRACAR,2068,18.55
RE1,BSTOPCAR,TRACAR,2069,37.6458
RE1,BSTOPMCY,TRAMCY,2015,0.0
RE1,BSTOPMCY,TRAMCY,2016,0.0
RE1,BSTOPMCY,TRAMCY,2017,0.0
RE1,BSTOPMCY,TRAMCY,2018,0.0
RE1,BSTOPMCY,TRAMCY,2019,0.0
RE1,BSTOPMCY,TRAMCY,2020,0.0
RE1,BSTOPMCY,TRAMCY,2040,2.9361
RE1,BSTOPMCY,TRAMCY,2041,6.3233
RE1,BSTOPMCY,TRAMCY,2042,2.0128
RE1,BSTOPMCY,TRAMCY,2043,5.4844
RE1,BSTOPMCY,TRAMCY,2044,17.3995
RE1,BSTOPMCY,TRAMCY,2045,20.1719
RE1,BSTOPMCY,TRAMCY,2046,26.5878
RE1,BSTOPMCY,TRAMCY,2047,37.0732
RE1,BSTOPMCY,TRAMCY,2048,26.3738
RE1,BSTOPMCY,TRAMCY,2049,42.5293
RE1,BSTOPMCY,TRAMCY,2050,47.7811
RE1,BSTOPMCY,TRAMCY,2051,43.3387
RE1,BSTOPMCY,TRAMCY,2052,49.9107
RE1,BSTOPMCY,TRAMCY,2053,39.8936
RE1,BSTOPMCY,TRAMCY,2054,39.1365
RE1,BSTOPMCY,TRAMCY,2055,42.9745
RE1,BSTOPMCY,TRAMCY,2056,37.9904
RE1,BSTOPMCY,TRAMCY,2057,49.7404
RE1,BSTOPMCY,TRAMCY,2058,36.5498
RE1,BSTOPMCY,TRAMCY,2059,28.7621
RE1,BSTOPMCY,TRAMCY,2060,35.3263
RE1,BSTOPMCY,TRAMCY,2061,26.6286
RE1,BSTOPMCY,TRAMCY,2062,23.9
RE1,BSTOPMCY,TRAMCY,2063,22.983
RE1,BSTOPMCY,TRAMCY,2064,37.1321
RE1,BSTOPMCY,TRAMCY,2065,37.5838
RE1,BSTOPMCY,TRAMCY,2066,26.7798
RE1,BSTOPMCY,TRAMCY,2067,26.656
RE1,BSTOPMCY,TRAMCY,2068,42.4548
RE1,BSTOPMCY,TRAMCY,2069,22.2888
