r,t,y,SalvageValue
RE1,UPSREF001,2039,82.485
RE1,UPSREF001,2040,244.3749
RE1,UPSREF001,2041,194.442
RE1,UPSREF001,2042,187.5488
RE1,UPSREF001,2043,164.4141
RE1,PWRCOA001,2037,7.3809
RE1,PWRCOA001,2038,77.0314
RE1,PWRSOL001,2048,20.2015
RE1,PWRSOL001,2049,78.0585
RE1,PWRSOL001,2050,184.9433
RE1,PWRSOL001,2051,29.1203
RE1,PWRSOL001,2052,44.4387
RE1,PWRSOL001,2053,54.0922
RE1,PWRSOL001,2054,64.0468
RE1,PWRSOL001,2055,67.2927
RE1,PWRSOL001,2056,77.3747
RE1,PWRSOL001,2057,87.8331
RE1,PWRSOL001,2058,208.3699
RE1,PWRSOL001,2059,145.6608
RE1,PWRSOL001,2060,135.3808
RE1,PWRSOL001,2061,123.6257
RE1,PWRSOL001,2062,135.1687
RE1,PWRSOL001,2063,147.2775
RE1,PWRSOL001,2064,159.995
RE1,PWRSOL001,2065,154.1975
RE1,PWRSOL001,2066,165.1266
RE1,PWRSOL001,2067,176.4548
RE1,PWRSOL001,2068,188.2046
RE1,PWRSOL001,2069,200.4094
RE1,PWRSOL001,2070,1769.5388
RE1,PWRHYD001,2022,24.3109
RE1,PWRHYD001,2051,606.2779
RE1,PWRHYD002,2051,193.6721
RE1,PWRWND001,2047,12.3823
RE1,PWRWND001,2048,25.5477
RE1,PWRWND001,2049,39.5372
RE1,PWRWND001,2050,406.8023
RE1,PWRWND001,2051,49.7782
RE1,PWRWND001,2052,60.0613
RE1,PWRWND001,2053,239.9393
RE1,PWRWND001,2054,619.5986
RE1,PWRWND001,2055,136.1626
RE1,PWRWND001,2056,139.403
RE1,PWRWND001,2057,156.743
RE1,PWRWND001,2058,204.0587
RE1,PWRWND001,2059,193.3754
RE1,PWRWND001,2060,280.4094
RE1,PWRWND001,2061,213.5317
RE1,PWRWND001,2062,232.2506
RE1,PWRWND001,2063,762.3536
RE1,PWRWND001,2064,137.2328
RE1,PWRWND001,2065,144.8588
RE1,PWRWND001,2066,152.519
RE1,PWRWND001,2067,160.2209
RE1,PWRWND001,2068,319.8517
RE1,PWRWND001,2069,339.7574
RE1,PWRSOL001S,2048,8.5905
RE1,PWRSOL001S,2049,140.549
RE1,PWRSOL001S,2050,253.0921
RE1,PWRSOL001S,2051,39.6355
RE1,PWRSOL001S,2052,50.2183
RE1,PWRSOL001S,2053,61.1126
RE1,PWRSOL001S,2054,72.3414
RE1,PWRSOL001S,2055,76.2014
