r,t,f,y,UseByTechnologyAnnual
RE1,DEMCOMHEBIO,BIO,2015,0.1598
RE1,DEMCOMHEBIO,BIO,2016,0.1683
RE1,DEMCOMHEBIO,BIO,2017,0.1773
RE1,DEMCOMHEBIO,BIO,2018,0.1868
RE1,DEMCOMHEBIO,BIO,2019,0.1968
RE1,DEMCOMHEBIO,BIO,2020,0.2073
RE1,DEMCOMHEBIO,BIO,2021,0.2152
RE1,DEMCOMHEBIO,BIO,2022,0.2235
RE1,DEMCOMHEBIO,BIO,2023,0.232
RE1,DEMCOMHEBIO,BIO,2024,0.2406
RE1,DEMCOMHEBIO,BIO,2025,0.2496
RE1,DEMCOMHEBIO,BIO,2026,0.2587
RE1,DEMCOMHEBIO,BIO,2027,0.2679
RE1,DEMCOMHEBIO,BIO,2028,0.2776
RE1,DEMCOMHEBIO,BIO,2029,0.2876
RE1,DEMCOMHEBIO,BIO,2030,0.2978
RE1,DEMCOMHEBIO,BIO,2031,0.3024
RE1,DEMCOMHEBIO,BIO,2032,0.3074
RE1,DEMCOMHEBIO,BIO,2033,0.3129
RE1,DEMCOMHEBIO,BIO,2034,0.3189
RE1,DEMCOMHEBIO,BIO,2035,0.34
RE1,DEMCOMHEBIO,BIO,2036,0.3516
RE1,DEMCOMHEBIO,BIO,2037,0.3634
RE1,DEMCOMHEBIO,BIO,2038,0.3757
RE1,DEMCOMHEBIO,BIO,2039,0.3883
RE1,DEMCOMHEBIO,BIO,2040,0.1422
RE1,DEMCOMHEBIO,BIO,2044,0.2134
RE1,DEMCOMHEBIO,BIO,2045,0.4552
RE1,DEMCOMHEBIO,BIO,2046,0.3868
RE1,DEMCOMHEBIO,BIO,2047,0.3122
RE1,DEMCOMHEBIO,BIO,2048,0.1599
RE1,DEMCOMHEBIO,BIO,2049,0.0993
RE1,DEMCOMHEEL,ELC003,2049,0.0582
RE1,DEMCOMHEEL,ELC003,2050,0.4146
RE1,DEMCOMHEEL,ELC003,2051,0.4215
RE1,DEMCOMHEEL,ELC003,2052,0.4284
RE1,DEMCOMHEEL,ELC003,2053,0.4354
RE1,DEMCOMHEEL,ELC003,2054,0.4426
RE1,DEMCOMHEEL,ELC003,2055,0.4499
RE1,DEMCOMHEEL,ELC003,2056,0.4573
RE1,DEMCOMHEEL,ELC003,2057,0.4648
RE1,DEMCOMHEEL,ELC003,2058,0.4724
RE1,DEMCOMHEEL,ELC003,2059,0.4802
